year;month;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1966;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;9;1350;1312;1235;1155;1175;1195;1155;1109;1140;1160;1160;1165;1114;1118;1126;1086;1077;1077;1010;1014;1054;1014;1038;1113;1131;1054;954,4;950,2;929,2;937,6;
1966;10;1086;1205;1265;1290;1307;1370;1385;1350;1340;1370;1450;1450;1478;1450;1428;1385;1318;1245;1235;1220;1280;1290;1149;1140;1081;1086;1135;1158;1205;1171;1131
1966;11;1038;1090;1113;1072;1034;1072;1144;1220;1275;1307;1355;1456;1474;1510;1505;1401;1240;1108;1050;967;1050;1205;1167;1190;1296;1375;1380;1439;1525;1579;
1966;12;1654;1708;1678;1640;1672;1619;1650;1702;1740;1770;1780;1846;1971;1971;1836;1708;1525;1385;1275;1167;1104;1077;1118;1095;1026;1038;1010;971,3;877;861;885
1967;1;885;849;767,2;740,2;744;707,5;686,2;671;629,8;637,2;648,3;711;697;971;655,8;637,2;690;622,4;697,5;587;633,5;704;583,5;663,4;648,3;604,5;671;775,6;678,6;597,5;587
1967;2;817;747,8;674,8;655,8;633,5;759,2;659,6;648,3;629,8;611,5;622,4;677;559;539,5;465;471;498,5;518,5;518,5;522;501,8;525,5;640,9;732,6;571;508,4;539,5;618,7;;;
1967;3;522;491,9;501,8;482;482;475,6;438;441;438;429;429;508,4;611,5;508,4;472,4;432;441;456,4;459,6;426;411;405;414;399;390;387,1;387,1;384,2;384,2;396;432
1967;4;405;411;565;453,2;435;429;590,5;462,8;469,2;438;562;469,2;529;508,4;771,4;732,6;767,2;933,4;813;893;1001;1064;958,6;755,4;644,6;574;682,4;877;885;1046;
1967;5;1185;1126;1064;1059;967;821;821;933,4;967;971,3;992,8;909;946;954,4;950,2;988,5;1018;1131;1167;1131;1042;933,4;921;925;869;1014;1113;1176;1205;1285;1370
1967;6;1515;1609;1696;1730;1788;1885;1893;1874;1818;1634;1456;1340;1225;1195;1185;1205;1230;1318;1401;1489;1603;1760;1812;1760;1730;1614;1489;1478;1510;1580;
1967;7;1640;1614;1525;1450;1360;1260;1215;1275;1307;1323;1370;1350;1307;1323;1412;1472;1510;1525;1467;1329;1210;1108;1072;1131;1113;1064;1001;921;885;950,2;975,6
1967;8;997,1;992,8;946;958,6;979,9;881;800,8;771,4;817;873;845;829;821;829;869;901;971,3;971,3;992,1;1042;1077;1108;1136;1095;992,8;954,4;975,6;925;841;845;869
1967;9;979,9;1054;1171;1245;1144;1086;1158;1210;1280;1270;1323;1350;1334;1190;1167;1302;1307;1200;1265;1340;1312;1240;1149;1082;946;897;905;962,8;929,2;1118;
1967;10;1176;1158;1154;1082;1022;971,3;921;937,6;1068;1054;1030;1022;1018;1038;1018;1122;1001;958,6;1131;1113;1162;1190;1205;1215;1220;1270;1265;1323;1445;1467;1452
1967;11;1489;1500;1489;1489;1510;1478;1360;1285;1329;1350;1312;1176;1077;1086;1131;1144;1167;1154;1095;1205;1290;1334;1418;1510;1515;1467;1340;1220;1162;1158;
1967;12;1077;833;1026;984,2;901;909;933,4;954,4;1030;1001;967;1054;958,6;885;805;725;693,5;690;678,6;690;775,6;813;725;704;718;796;763;755,4;763;711;667,2
1968;1;595;569;557;553;525;510;496;496;494;475;475;464;475;489;472;486;445;461;424;395;376;368;386;398;395;439;424;416;424;419;418,5
1968;2;418;400;409;406;403;403;425;397;389;386;389;388;371;388;373;364;346;340;335;;;;;;;;;;;;
1968;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;4;457;724;547;498;487;445;413;461;498;584;583;611;711;694;549;482;443;473;486;466;428;385;395;501;474;438;440;456;421;385;
1968;5;384;378;398;634;508;433;533;618;631;660;640;643;684;626;680;622;843;958;953;916;878;834;801;703;644;632;396;568;715;868;974
1968;6;973;1089;1246;1172;939;1001;1005;986;1050;1112;847;934;972;931;744;847;910;935;945;987;987;981;1200;1292;1383;1194;1072;1008;986;949;
1968;7;788;1385;1488;1565;1544;1447;1276;1186;1085;944;829;749;792;789;834;904;1161;1428;1467;1549;1635;1732;1695;1586;1579;1463;1369;1041;937;850;833
1968;8;855;858;1081;1046;1017;1128;1288;1422;1574;1015;1219;1586;1418;1249;1176;1119;1173;1288;1251;1232;1278;1097;955;902;988;1102;1139;1290;1376;1403;1490
1968;9;1572;1672;1695;1678;1621;1577;1438;1383;1344;1261;1251;1136;1083;1184;1232;1158;1147;1165;1147;1044;949;934;958;955;1553;1500;1479;1374;1067;1170;
1968;10;1169;1002;1039;980;1001;1400;1044;1029;1034;1070;1107;1261;1401;1535;1649;1830;1844;1744;1689;1621;1614;1672;1586;1551;1544;1558;1778;1816;1810;1735;1701
1968;11;1678;1626;1505;1403;1333;1326;1306;1374;1347;1143;1088;1119;1125;1169;1349;1392;1442;1493;1502;1431;1358;1335;1392;1438;1507;1542;1588;1544;1444;1313;
1968;12;1263;1112;1050;973;1001;963;937;1018;1041;1057;987;924;892;869;844;841;782;705;686;684;684;709;799;686;683;710;734;786;844;860;892
1969;1;549;540;533;531;527;513;534;532;538;515;513;533;538;559;642;582;594;592;581;578;568;545;525;525;531;532;531;520;507;499;489
1969;2;487;475;467;459;455;449;439;429;425;417;406;390;354;321;301,1;260,8;260,8;381,6;341,4;334;358;442;468;487;510;562;630;575;;;
1969;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;5;1405;1053;988,2;941,5;871,8;879,9;958,6;1008;1053;1103;1133;1182;1136;1129;1172;1261;1261;1142;1018;955;938;974;1025;1288;1335;1181;1038;1023;1091;1110;1039
1969;6;1188;1456;1545;1525;1392;1454;1532;1593;1621;1523;1440;1392;1381;1376;1417;1495;1570;1607;1704;1667;1551;1428;1433;1394;1263;1232;1244;1228;1276;1412;
1969;7;1449;1431;1385;1335;1297;1240;1232;1213;1154;1116;1072;1031;974;966;1041;1043;1001;942;914;895;889;878;854;847;825;811;790;780;758;749;754
1969;8;757;822;878;916;965;983;1022;1072;1109;1165;1342;1431;1458;1579;1658;1712;1773;1827;1876;1873;1876;1876;1876;1818;1542;1460;1433;1437;1424;1385;1367
1969;9;1338;1331;1249;1232;1223;1209;1203;1255;1317;1392;1530;1544;1572;1593;1618;1579;1520;1488;1440;1395;1344;1291;1355;1244;1169;1191;1133;1298;1392;1419;
1969;10;1385;1375;1548;1619;1621;1644;1678;1717;1730;1859;1760;1790;1760;1734;1628;1678;1725;1702;1679;1656;1633;1610;1587;1564;1561;1543;1543;1545;1553;1570;1560
1969;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;12;1564;1564;1564;1564;1902;1621;1506;1331;1197;1141;1054;1015;1249;1169;1177;1130;1034;1106;1062;1054;1067;1064;1009;996;1033;1014;1011;1019;864;786;752
1970;1;737;711;690;711;722;706;739;889;782;849;1158;1186;1268;1426;1460;1372;1209;1028;923;866;834;782;737;693;649;701,8;647,4;637;600,5;549,1;519,4
1970;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;8;981,7;980,6;981,5;980,6;1002;923;906;900;870;856;836;840;854;858;934;968;928;898;901;939;969;945;939;874;885;921;930;933;940;919;996
1970;9;1067;1050;1009;1002;948;935;1004;1046;1198;1338;1380;1362;1295;1220;1118;1011;976;995;1013;1086;1144;1153;1127;1126;1157;1168;1130;1093;1051;1031;
