year;month;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1967;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967;5;1360;1318;1274;1271;1205;1101;1101;1181;1205;1208;1223;1164;1190;1196;1193;1220;1050;1099;1145;1222;1275;1238;1185;1160;1088;1086;1128;1185;1235;1255;1325
1967;6;1405;1536;1642;1775;1813;1852;1864;1851;1811;1680;1553;1816;1745;1674;1631;1600;1585;1572;1588;1652;1669;1677;1715;1721;1718;1686;1647;1669;1685;1685;
1967;7;2368;2336;2263;2164;2172;2056;2007;2028;2014;2000;1974;1978;1970;1912;1974;2046;2126;2160;2126;2032;1909;2582;2436;2462;2419;2364;2218;2095;2025;2042;2067
1967;8;2091;2091;2074;2025;2168;2060;1939;1873;1883;1989;1970;1929;1870;1822;1835;1769;1873;1896;1880;1926;2070;2081;2123;2133;2098;2028;1989;1896;1784;1703;1709
1967;9;1866;2074;2234;2282;2253;2168;2230;2253;2406;2547;2696;2696;2630;2463;2331;2511;2610;2515;2466;2542;2566;2511;2441;2237;2074;1910;1804;1787;1754;1813;
1967;10;1959;2098;2144;2137;2088;2021;1913;1906;2035;2070;2077;2119;2105;2081;2042;2098;2084;1966;2074;2164;2209;2225;2378;2462;2415;2462;2520;2605;2790;2941;3011
1967;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;3;978;943;928;896;892;912;938;898;885;850;813;806;810;845;848;840;854;963;1074;1119;1153;1175;1203;1185;1081;1054;1005;970;908;913;901
1968;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;8;1916;2075;2421;2518;2445;2627;2660;2860;3025;3206;3198;3202;3069;2800;2555;2372;2287;2391;2357;2920;2364;2228;2047;1932;1968;2033;2110;2228;2355;2362;2477
1968;9;2593;2790;2907;2937;3001;3001;2917;2797;2668;2610;2657;2476;2430;2506;2476;2389;2297;2299;2479;2422;2277;2075;2019;2016;2084;1919;2111;1904;2149;2274;
1968;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;1;1445;1392;1361;1336;1310;1291;1268;1265;1230;1199;1196;1175;1257;1303;1337;1321;1297;1250;1230;1250;1319;1409;1490;1430;1433;1414;1355;1297;1292;1292;1297
1969;2;1263;1229;1191;1142;1120;1213;1243;1188;1155;1095;1122;1123;1099;1069;1044;1021;1006;1003;1014;1009;1005;1002;1014;1072;1090;1145;1186;1145;;;
1969;3;1101;1075;1214;1206;1168;1230;1226;1102;1041;966;917;898;880;872;868;874;853;806;788;779;773;764;752;758;789;807;833;825;858;896;960
1969;4;898;858;838;830;848;898;959;1045;1234;1286;1407;1731;1827;1904;2091;2146;2341;2491;2509;2422;2485;2542;2613;2687;2833;3058;3206;3016;2903;2777;
1969;5;3374;2542;2390;2280;2115;2134;2320;2436;2542;2662;2732;2847;2739;2723;2823;3022;3272;3382;3394;3276;3224;3100;3084;3144;3213;3049;2904;2708;2729;2690;2677
1969;6;2663;2830;2930;2994;3064;3179;3299;3344;3415;3488;3499;3485;3418;3190;2853;2754;2575;2315;2268;2264;2299;2255;2230;2293;2249;2128;2105;2070;2065;2056;
1969;7;2042;2000;1948;1831;1761;1693;1683;1697;1641;1610;1585;1603;1581;1499;1433;1485;1605;1671;1827;1658;1562;1389;1244;1203;1209;1355;1328;1295;1285;1334;1370
1969;8;1605;1687;1645;1590;1538;1673;1659;1863;2191;2241;2100;2037;1965;1925;2141;2384;2551;2597;2723;2790;2893;2972;2940;2907;2830;2790;2717;2512;2411;2467;2400
1969;9;2364;2428;2387;2301;2157;1951;1912;1784;1703;1685;1682;1658;1585;1593;1484;1569;1558;1558;1603;1670;2135;2419;2432;2453;2511;2533;2538;2710;2840;2961;
1969;10;3049;3168;3298;3419;3520;3563;3606;3656;3713;3713;3744;3756;3710;3663;3469;3560;3646;3661;3676;3691;3705;3720;3735;3750;3744;3700;3700;3706;3725;3763;3740
1969;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;12;3750;3750;3750;3750;3744;3688;3575;3437;3268;3051;2890;2742;2800;2805;2800;2705;2580;3191;2533;2488;2470;2515;2453;2382;2361;2277;2244;2249;2124;1996;1855
1970;1;1813;1709;1647;1593;1544;1525;1498;1517;1533;1553;1806;1985;2011;2139;2244;2310;2263;2200;2126;2035;1989;1844;1769;1709;1610;1539;1466;1452;1403;1334;1294
1970;2;1265;1235;1203;1175;1199;1243;1339;1352;1323;1332;1318;1316;1312;1278;1250;1203;1180;1199;1217;1233;1223;1199;1239;1282;1300;1305;1312;1287;;;
1970;3;1243;1194;1178;1145;1155;1210;1235;1263;1294;1309;1345;1387;1436;1506;1443;1354;1282;1236;1175;1136;1097;1072;1025;996;993;1054;1099;1158;1131;1139;1258
1970;4;1208;1141;1052;1023;1000;960;996;1038;1175;1364;1569;1564;1635;1751;1787;1881;1906;1912;1922;1955;1880;1757;1754;1727;1682;1727;1796;1863;1963;2053;
1970;5;2241;2319;2343;2263;2268;2313;2400;2533;2547;2457;2440;2391;2394;2497;2511;2635;2870;2953;3177;3423;3570;3738;3741;3744;3747;3750;3749;3748;3747;3746;3745
1970;6;3745;3744;3541;3414;3267;3050;2967;2905;2865;2961;2972;3038;3084;3144;3156;3132;3191;3197;3073;2900;2723;2678;2683;2780;2775;2741;2815;2875;2795;2750;
