year;month;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1973;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;3;1091;1065;1037;1021;1085;1250;1721;1884;1904;1860;1844;1924;2064;2128;2112;2140;2232;2344;2372;2444;2340;2240;2196;2212;2280;2336;2444;2444;2456;2484;2412
1973;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;5;3653;3725;3842;3964;4063;4171;4346;4481;4580;4666;4765;4805;4878;4935;4972;5010;5047;5085;5118;5141;5132;5217;5249;5240;5231;5235;5282;5320;5358;5387;5426
1973;6;5454;5459;5464;5474;5502;5560;5618;5675;5704;5733;5771;5810;5819;5819;5819;5819;5800;5819;5819;5800;5715;5874;5960;5998;6023;6109;6310;6472;6507;6520;
1973;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;9;7367;7351;7335;7319;7304;7288;7272;7256;7240;7265;7296;7328;7364;7411;7447;7473;7489;7530;7541;7567;7572;7588;7614;7634;7660;7681;7702;7738;7991;8243;
1973;10;8496;8496;8496;8496;8496;8521;8521;8521;8521;8521;8531;8531;8531;8509;8177;8223;8279;8294;8314;8330;8340;8345;8355;8360;8391;8416;8437;8467;8473;8483;8483
1973;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;2;6316;6122;5930;6035;5978;5910;5882;5838;5781;5723;5694;5666;5642;5622;5622;5642;5642;5627;5642;5661;5694;5699;5690;5680;5656;5618;5589;5550;;;
1974;3;5517;5517;5522;5498;5469;5411;5354;5287;5226;5184;5141;5165;5212;5231;5245;5240;5240;5235;5235;5249;5278;5278;5268;5268;5240;5226;5226;5221;5188;5184;5212
1974;4;5217;5217;5188;5146;5127;5113;5108;5076;5061;5066;5104;5141;5174;5188;5202;5212;5221;5226;5212;5193;5151;5151;5113;5085;5099;5108;5127;5151;5202;5249;
1974;5;5301;5363;5430;5498;5560;5814;5704;5776;5824;5872;5910;5968;5992;6030;6059;6083;6117;6141;6160;6189;6218;6232;6256;6266;6280;6290;6290;6299;6304;6314;6333
1974;6;6362;6352;6352;6362;6362;6342;6323;6314;6285;6266;6246;6222;6179;6155;6102;6059;6040;6030;6045;6064;6069;6074;6093;6112;6131;6146;6160;6174;6160;6141;
1974;7;6117;6078;6045;6026;6006;5987;5973;5958;5930;5886;5848;5810;5795;5781;5781;5742;5675;5637;5613;5598;5618;5656;5685;5670;5637;5613;5603;5589;5594;5598;5598
