year;month;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1974;1;57,01;56,5;55,99;55,31;54,64;53,56;53,4;52,79;51,54;49,53;47,7;46,05;44,7;43,35;41,79;40,3;39,09;37,87;36,95;35,45;33,7;32,82;32,07;31,57;30,07;28,95;27,33;26,05;23,98;22,21;20,7
1974;2;19,1;17,98;16,15;14,62;13,62;12,83;12,12;11,51;10,96;10,5;10,29;9,95;9,82;9,65;9,48;9,31;9,14;8,99;8,84;8,69;8,54;8,39;8,27;8,16;8,01;7,86;7,79;7,64;;;
1974;3;7,6;7,56;7,52;7,4;7,28;7,2;7,16;7,08;7;6,96;6,84;6,76;6,64;6,56;6,44;6,68;6,72;6,64;6,56;6,56;6,56;6,56;6,48;6,36;6,24;6,2;6,08;6,08;6;6;6
1974;4;6;6;6;6;6;6;6;6;6,04;6,04;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6,24;6,44;
1974;5;7;7,52;8,12;8,42;8,95;9,86;10,75;12,74;13,69;14,12;13,62;12,85;12,23;12,12;12,12;12,12;11,9;11,57;11,02;11,02;11,35;11,35;12,34;13,44;15,98;18,57;20,7;22,1;22,6;22,94;23,4
1974;6;25,13;26,16;26,28;24,9;24,67;22,2;22;20,4;19;18,29;17,98;19,1;21;26,05;29,45;29,7;30,32;32,45;32,95;33,45;34,82;36,95;38,82;39,9;41,52;42,06;43,05;44,25;46,2;46,65;
1974;7;47,7;46,2;46,2;46,2;46,2;45,75;44,85;44,4;43,2;42,9;42,6;42,6;42,46;42,06;41,38;40,44;40,98;40,71;41,65;42,9;43,65;46,5;47,7;48,3;48,76;49,22;49,37;49,84;50,15;50,15;49,53
1974;8;49,53;49,53;49,53;49,22;48,6;48,6;48,6;48,6;46,95;46,8;46,65;46,5;46,5;46,8;46,5;45,9;46,2;46,2;46,2;45,9;45,6;45,15;44,85;44,55;44,7;44,25;43,95;43,35;43,5;42,75;43,05
1974;9;43,2;44,1;44,25;44,85;45,3;45,6;45,6;45,45;45,6;45,45;44,7;44,4;45,15;45;44,7;44,4;44,4;46,5;46,95;47,4;49,53;49,99;50,77;51,24;51,85;52,63;52,63;53,4;53,25;53,56;
1974;10;54,02;53,87;54,02;54,33;54,49;54,49;54,8;55,14;55,14;55,31;55,48;55,82;56,16;56,5;56,5;57,01;58,71;59,73;60,58;60,92;61,26;61,6;61,85;62,35;62,23;62,1;62,1;62,35;62,35;62,35;62,48
1974;11;62,6;62,85;63,1;63,73;64,35;64,73;65,35;65,6;65,85;66,1;66,35;66,6;67,04;68,14;69,46;70,12;70,12;70,12;70,56;70,56;72,54;72,32;72,32;72,32;69,68;72,32;72,32;71,88;71,66;72,1;
1974;12;72,76;71;70,56;70,12;69,9;69,02;68,36;67,7;67,48;66,69;66,23;65,73;65,23;64,35;63,6;62,6;61,85;61,09;60,07;59,39;58,54;57,35;55,99;54,02;52,47;49,84;48,3;46,8;44,85;43,65;42,06
1975;1;39,76;38,68;37,1;34,95;33,2;31,7;30,07;28,45;26,39;24,44;22,51;18,36;19,2;17,67;16,43;15,53;14,69;13,81;13,13;12,28;11,57;10,96;10,5;10,12;9,86;9,52;9,27;9,06;8,72;8,5;8,39
1975;2;8,31;8,16;8,01;7,86;7,71;7,64;7,56;7,48;7,44;7,36;7,24;7,16;7,08;7,04;6,96;6,88;6,8;6,92;6,72;6,64;6,56;6,48;6,48;6,4;6,32;6,24;6,16;6,16;;;
1975;3;6,08;6,08;6,08;6,08;6,08;6,08;6;6;6;5,98;5,96;5,94;5,92;5,9;5,88;5,82;5,76;5,76;5,76;5,7;5,64;5,64;5,76;5,76;5,94;5,88;5,82;5,7;5,58;5,52;5,82
1975;4;5,94;5,76;5,7;5,64;5,52;5,4;5,4;5,34;5,28;5,28;5,22;5,16;5,16;5,1;5,04;5,04;4,98;4,98;4,98;4,92;4,92;4,92;4,92;4,92;4,98;4,98;4,98;4,98;4,92;4,92;
1975;5;4,92;5,04;5,22;5,22;5,22;5,22;5,28;5,4;5,4;5,46;5,94;5,94;5,76;5,76;5,64;5,4;5,76;7,12;7,12;7,36;7,67;8,05;8,54;9,15;9,78;10,63;11,63;12,06;12,78;13,5;14,5
1975;6;15;15,25;15,38;15,81;16,43;16,58;18,52;19,3;20,3;21,3;23,06;24,78;24,78;24,32;25,93;28,07;30,07;30,7;31,32;31,95;32,57;33,45;34,2;34,45;34,7;34,32;34,45;34,95;36,07;38,01;
1975;7;38,01;38,68;40,3;41,38;43,8;44,55;45,15;45,6;45,75;46,5;46,95;47,7;48,15;49,84;51,23;51,85;52,32;52,63;52,94;52,63;53,71;54,18;54,18;54,8;54,8;54,8;55,14;55,14;55,48;55,48;55,48
1975;8;55,48;55,48;55,48;55,48;54,8;54,8;54,8;54,18;54,18;53,56;52,94;52,32;51,7;50,46;50,46;50,15;50,15;50,15;50,77;51,39;52,32;53,25;53,56;54,8;54,8;54,8;54,8;55,14;55,48;55,48;55,48
