year;month;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1974;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;10;3296;3296;3328;3359;3367;3391;3399;3407;3414;3454;3454;3407;3407;3422;3438;3422;3446;3446;3454;3446;3407;3399;3391;3383;3383;3375;3367;3407;3407;3422;3414
1974;11;3422;3422;3414;3407;3414;3414;3438;3438;3438;3454;3485;3485;3509;3524;3516;3485;3485;3501;3485;3454;3469;3469;3469;3469;3469;3469;3469;3461;3438;3438;
1974;12;3399;3359;3375;3375;3386;3304;3283;3150;3078;3087;2986;2813;2793;2711;2373;2291;2186;2090;1994;1930;1611;1556;1484;1432;1158;1158;1158;1158;1126;1099;1097
1975;1;1382;1373;1390;1416;1463;1494;1520;1515;1494;1447;1390;1348;1285;1243;1205;1162;1126;1090;1086;1077;1095;1076;1068;1029;1005;994;964;964;967;964;957
1975;2;940;936;919;925;928;1038;1115;1148;1245;1306;1281;1264;1224;1203;1160;1140;1115;1119;1119;1113;1162;1130;1094;1167;1177;1211;1333;1379;;;
1975;3;1403;1515;1651;1782;1863;1891;1874;1798;1731;1689;1664;1616;1572;1530;1499;1450;1398;1316;1370;1439;1426;1373;1358;1426;1439;1442;1403;1390;1378;1352;1327
1975;4;1319;1270;1331;1478;1525;1491;1541;1455;1338;1317;1442;1424;1260;1191;1173;1122;1115;1108;1058;1045;1094;1085;1088;1079;1086;1130;1237;1323;1285;1356;
1975;5;1460;1476;1468;1679;1765;1832;1922;2016;2032;2144;2173;2208;2224;2228;2248;2336;2496;2504;2471;2549;2480;2377;2266;2224;2285;2492;2661;2662;2553;2619;2512
1975;6;2443;2574;2742;2828;2772;2884;2997;3053;3104;3150;3109;2930;2818;2660;2570;2607;2666;2691;2631;2619;2484;2529;2623;2631;2582;2549;2496;2439;2459;2533;
1975;7;2586;2793;2981;3119;3265;3375;3438;3461;3501;3540;3564;3579;3603;3611;3611;3611;3611;3611;3595;3556;3548;3540;3516;3469;3399;3289;3145;3073;3002;2986;2874
