year;month;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1973;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;12;0,003;0,212;0,42;3,332;1,485;0,785;0,438;0,42;0,42;0,339;0,438;0,438;0,42;0,366;0,366;0,177;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15
1974;1;0,15;0,15;0,15;0,15;0,15;0,15;0,14;0,14;0,12;0,12;0,12;0,09;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,06;0,04;0,04;0,04;0,03;0,03;0,03;0,03;0,03
1974;2;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;;
1974;3;0,02;0,02;0,02;0,02;0,02;0,02;;;;;;;;;;;;;;;;;;;;;;;;;
1974;4;;;;;;;;;;;;;;0,08;0,08;;;;;;;;;;;;;;;;
1974;5;0,03;5,26;5,26;4,77;3,76;3,28;3,28;4,61;10,8;10,64;9,53;13,1;15,34;16,69;17,11;0,15;0,11;2,98;0,59;0,84;1,32;1,32;0,26;0,02;1,31;1,35;1,32;1,16;0,59;0,49;0,35
1974;6;0,15;1,06;1,44;0,96;0,44;0,28;0,15;0,15;0,14;0,13;0,13;0,13;0,13;0,13;0,09;0,04;0,04;0,04;0,17;0,12;0,12;0,08;0,08;0,14;0,11;0,08;0,08;0,07;0,07;0,06;
1974;7;0,06;0,04;0,04;0,04;0,03;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,04;0,04;0,04;0,09;0,12;0,12;0,08;0,08;0,14;0,14;0,11;0,08;0,08;0,11;0,07;0,06
