year;month;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1966;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;9;0.591765873015873;0.557504873294347;0.5345691382765531;0.5499451152579583;0.5737430167597765;0.5004826254826255;0.43980667838312826;0.46490384615384617;0.5049146404552509;0.5410526315789473;0.5615514333895447;0.5809692671394799;0.46763672854992466;0.4583746283448959;0.5203915171288744;0.5162011173184358;0.4740540540540541;0.4335490293678447;0.42676767676767674;0.4494499738082766;0.467870419543282;0.4593716143011917;0.4098438239469948;0.4584148727984344;0.5251366120218579;0.5142537730575741;0.4503605102606767;0.3961259079903148;0.38061127029608405;0.3880157170923379;
1966;10;0.46081349206349204;0.5053606237816763;0.5495991983967936;0.6240395170142701;0.647486033519553;0.584942084942085;0.5408611599297012;0.5807692307692308;0.6083807553026384;0.651578947368421;0.7245643620011243;0.7494089834515366;0.650275965880582;0.6228939544103073;0.6846112017400761;0.6832402234636872;0.6043243243243244;0.5171727227476356;0.5404040404040403;0.5573598742797276;0.5878916622411046;0.608884073672806;0.46237576904874583;0.471624266144814;0.4978142076502732;0.5321408608160985;0.550748752079867;0.4968523002421308;0.5124164278892073;0.5024557956777995;0.5020554984583763
1966;11;0.4370039682539682;0.449317738791423;0.4734468937875751;0.5043907793633371;0.4949720670391061;0.44111969111969107;0.4349736379613356;0.5182692307692308;0.5747542679772375;0.6184210526315789;0.6711635750421585;0.7529550827423168;0.6482689412945308;0.6526263627353815;0.7264817835780315;0.6921787709497207;0.5621621621621622;0.44897959183673464;0.44696969696969696;0.4248297537977999;0.4657461497610196;0.5628385698808234;0.47089446284902986;0.49608610567514677;0.6153005464480874;0.6936836221352711;0.6866333887964504;0.6329297820823244;0.6652340019102196;0.7028487229862475;
1966;12;0.7425595238095237;0.7504873294346978;0.7565130260521041;0.8161361141602635;0.8513966480446926;0.7051158301158301;0.657293497363796;0.7500000000000001;0.8153129849974133;0.8621052631578947;0.910061832490163;0.983451536643026;0.8976417461113898;0.8810703666997027;0.9064709081022293;0.8636871508379887;0.7162162162162162;0.5868591338974614;0.5606060606060606;0.5295966474594028;0.49442379182156126;0.4934994582881907;0.4477046852815902;0.44960861056751467;0.4677595628415301;0.5053102291783119;0.48141985579589575;0.40629539951573845;0.35577841451766956;0.3501964636542239;0.37564234326824253
1967;1;0.3611111111111111;0.33187134502923976;0.3001002004008016;0.3221734357848518;0.3329608938547486;0.2654440154440154;0.2337434094903339;0.25432692307692306;0.24107604759441284;0.2657894736842105;0.2737492973580663;0.3126477541371158;0.2584044154540893;0.3855302279484638;0.26481783578031537;0.26536312849162014;0.2648648648648649;0.20706819313091088;0.2691919191919192;0.22577265584075434;0.24482209240573555;0.2914409534127844;0.19498343587316613;0.2382583170254403;0.2612021857923497;0.26271660145332587;0.293399889073766;0.311864406779661;0.2612225405921681;0.2210216110019646;0.22250770811921888
1967;2;0.3273809523809524;0.2826510721247563;0.25400801603206413;0.2760702524698134;0.27150837988826815;0.29005791505791506;0.2223198594024604;0.24326923076923077;0.24107604759441284;0.25263157894736843;0.2591343451377178;0.2925531914893617;0.1891620672353236;0.17195242814667988;0.16095704187058185;0.17262569832402233;0.1610810810810811;0.15530114484818316;0.17828282828282832;0.1917234154007334;0.17472118959107807;0.19501625135427952;0.2219592995740653;0.27250489236790604;0.21912568306010932;0.20905533817775293;0.22074320576816417;0.2358353510895884;;;
1967;3;0.18105158730158727;0.15789473684210525;0.16733466933867736;0.18057080131723383;0.18659217877094972;0.1534749034749035;0.12478031634446397;0.14375000000000002;0.14174857734092083;0.15631578947368419;0.15064643057897695;0.19267139479905437;0.21575514300050172;0.15609514370664024;0.16476345840130507;0.15083798882681562;0.13027027027027027;0.12444001991040318;0.148989898989899;0.141435306443164;0.12639405204460968;0.12946912242686892;0.11452910553715097;0.10909980430528377;0.12021857923497266;0.14141978759083287;0.1358846367165835;0.12203389830508474;0.12034383954154727;0.1218074656188605;0.14285714285714285
1967;4;0.123015873015873;0.11842105263157893;0.19889779559118237;0.16465422612513722;0.16033519553072623;0.13079150579150578;0.19156414762741647;0.15432692307692308;0.15778582514226588;0.1610526315789474;0.22540753232152896;0.16962174940898345;0.1741093828399398;0.15609514370664024;0.32735182164219684;0.3189944134078212;0.30648648648648646;0.36187157789945246;0.32727272727272727;0.3860660031430068;0.43972384492830585;0.48645720476706394;0.3724562233790819;0.28326810176125244;0.25956284153005466;0.24594745667970933;0.2995008319467555;0.36077481840193704;0.35959885386819485;0.4410609037328094;
1967;5;0.5099206349206349;0.46686159844054576;0.44889779559118237;0.4972557628979144;0.4575418994413407;0.319980694980695;0.2930579964850615;0.3802884615384615;0.4154164511122608;0.441578947368421;0.46767847105115234;0.42966903073286056;0.38334169593577516;0.37710604558969274;0.42468733007069054;0.46145251396648046;0.4421621621621622;0.4604280736684917;0.506060606060606;0.5107386066003143;0.46149761019649493;0.4154929577464788;0.3544723142451491;0.3664383561643835;0.3819672131147541;0.4918949133594187;0.5385468663338879;0.5055690072639225;0.5124164278892073;0.5584479371316307;0.6248715313463515
1967;6;0.6736111111111112;0.7022417153996101;0.7655310621242485;0.8655323819978047;0.9162011173184357;0.8334942084942085;0.7640597539543057;0.8326923076923077;0.8556647697878944;0.7905263157894736;0.7279370432827431;0.6843971631205674;0.5233316608128449;0.49653121902874126;0.5524741707449701;0.5826815642458101;0.5567567567567567;0.5535092085614733;0.6242424242424242;0.6982713462545835;0.7594264471587892;0.8634886240520042;0.7761476573592049;0.7749510763209393;0.8524590163934427;0.8272778088317496;0.7470881863560732;0.6518159806295399;0.6580706781279847;0.7033398821218074;
1967;7;0.7356150793650793;0.7046783625730993;0.6798597194388777;0.71185510428101;0.6770949720670391;0.5318532818532818;0.46616871704745166;0.5447115384615385;0.5913088463528194;0.6268421052631579;0.6795952782462058;0.6903073286052009;0.564475664826894;0.5599603567888999;0.675910821098423;0.7318435754189944;0.7081081081081081;0.6565455450472871;0.6575757575757576;0.6144578313253012;0.5507169410515135;0.5102925243770313;0.42593469001419787;0.46722113502935414;0.5153005464480874;0.519843487982113;0.4764281752634498;0.38208232445520585;0.35959885386819485;0.39390962671905694;0.42240493319630007
1967;8;0.41666666666666663;0.402046783625731;0.3897795591182365;0.44237102085620206;0.46480446927374297;0.34893822393822393;0.28427065026362036;0.3024038461538462;0.33781686497672014;0.39;0.38448566610455315;0.382387706855792;0.3206221776216759;0.3151635282457879;0.3806416530723219;0.41284916201117317;0.4167567567567567;0.3807864609258337;0.4176767676767677;0.46411733892090107;0.4800849707912904;0.5102925243770313;0.4562233790818741;0.44960861056751467;0.4497267759562842;0.45835662381218567;0.4625623960066556;0.3840193704600484;0.33858643744030564;0.3423379174852652;0.36742034943473795
1967;9;0.408234126984127;0.43177387914230014;0.5025050100200401;0.5993413830954994;0.5564245810055866;0.44787644787644787;0.4411247803163444;0.5134615384615385;0.5773409208484221;0.5989473684210526;0.6531759415401912;0.6903073286052009;0.5780230807827396;0.49405351833498506;0.5426862425231103;0.6368715083798883;0.5983783783783784;0.494773519163763;0.5555555555555555;0.6202200104766894;0.6048858204992034;0.5817984832069338;0.46237576904874583;0.4432485322896281;0.4240437158469945;0.42649524874231415;0.4231835829173599;0.4024213075060533;0.38061127029608405;0.4764243614931237;
1967;10;0.5054563492063491;0.48245614035087714;0.4939879759519038;0.5098792535675083;0.4882681564245809;0.3923745173745174;0.3369947275922671;0.38269230769230766;0.46766683911019147;0.4852631578947369;0.4884766722878022;0.4964539007092199;0.41946813848469633;0.41873141724479684;0.4616639477977161;0.5363128491620112;0.432972972972973;0.37481333997013433;0.48787878787878786;0.50130958617077;0.5252257036643654;0.5547128927410617;0.48887837198296263;0.5083170254403131;0.5737704918032787;0.6349916154276133;0.6228508042151969;0.5767554479418886;0.6270296084049666;0.6478388998035363;0.6670092497430626
