year;month;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1974;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;10;0.6298649722001589;0.643469591226321;0.6417059748427674;0.6507439310884886;0.6504547251878212;0.6547950656585755;0.6573233320173707;0.6591752980261871;0.6500399042298484;0.6600560897435896;0.6597152596751553;0.6520338300443013;0.6659470068694799;0.6609708737864077;0.6641377896247693;0.6654336210439786;0.6859678782755706;0.6875525651808242;0.6684970510473867;0.6793909052982896;0.6398179299426083;0.6495881052843078;0.6501835039598223;0.6480944089765912;0.6420706973150473;0.6555577728996209;0.6478278358809332;0.6390253487915112;0.6607474705760892;0.6659142212189616;0.6671437333878553
1974;11;0.6548848292295473;0.6685942173479561;0.6586084905660378;0.6601409553641346;0.6597469355476473;0.6593712693991246;0.6650217133833399;0.6652335352745748;0.654828411811652;0.6600560897435896;0.6659314216964106;0.6677406363270237;0.6859666339548577;0.6807766990291262;0.680131228214066;0.678380600082203;0.6942096365173288;0.6991169049621531;0.6748017083587553;0.6810596579057155;0.652087868592915;0.6636528028933092;0.6652501448715472;0.6647320564906172;0.6586826347305389;0.6743165036918779;0.6683427192276749;0.6496364708194144;0.667148461697295;0.6691976195362199;
1974;12;0.6503177124702144;0.6560319042871385;0.6509433962264152;0.653876272513704;0.6542111506524317;0.6374850775964982;0.6344255823134622;0.6089505569669728;0.5830007980845969;0.5865384615384615;0.5658712652897533;0.5324204591220298;0.5454367026496566;0.5229126213592233;0.44576583965552596;0.43300452116728316;0.41969568892645814;0.4024390243902439;0.37156802928615007;0.36316228619107216;0.28438551355630315;0.2792847096644565;0.28182344987444463;0.2706519636293287;0.21228510720494495;0.21313111155457995;0.20353982300884954;0.19709176655531538;0.18975841420607062;0.18920582803201313;0.1934164792475976
