Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
TABLA 101.  CAPITAL  DE TRABAJO.  CRÉDITOS APROBADOS PARA SIEMBRAS DE  CULTIVOS  ANUALES Y  SOSTENIMIENTOS,,,,,,,,,,,,,,,,,,,,,,
                    AGRÍCOLAS CON RECURSOS DE FINAGRO 1996 - 2017,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,(Millones de pesos),
Años,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016,2017.0
Cultivos,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 ,4553.713,3125.7,1682.0,340.0,1492.5,1896.5,2772.7000000000003,3169.544,6528.16,9977.724,7533.157999999999,9731.492,3682.62,4515.37,12094.809000000001,26281.679999999997,20435.789,29915.022,17261.983,14163.716,16795.386684,15537.127854
 Arracacha,391.3,329.4,189.2,57.3,66.1,64.4,160.5,224.9,247.1,589.48,754.076,897.169,583.185,274.075,976.589,1128.935,1381.486,1425.3,1043.8,760.75,1226.666,1337.9
 Ñame,62.408,121.3,62.6,0.0,25.3,49.8,108.4,183.546,453.7,253.002,222.64,282.22,187.194,120.19,610.25,1695.497,932.18,2379.843,2032.29,1569.96,2189.720684,2375.964534
 Malanga,4.205,44.4,9.1,0.0,0.0,31.4,80.0,54.686,16.57,4.2,34.404,18.95,6.5,18.3,73.04,253.024,163.9,41.32,15.28,0.0,0,0.0
 Yuca,4095.8,2630.6,1421.1,282.7,1401.1,1750.9,2423.8,2706.412,5810.79,9131.042,6522.038,8533.153,2905.741,4102.805,10434.93,23204.224,17958.223,26068.559,14170.613,11833.006,13379,11823.26332
SOSTENIMIENTO,35297.59099999999,30727.899999999998,33643.8,21221.199999999997,26465.2,63935.39999999999,49225.900000000016,96716.94800000002,103353.43,92373.13399999999,121798.066,120607.585,248027.12800000003,225052.07200000001,77049.03600000001,122542.094,208106.90399999998,180678.229,145802.221,146726.95699999997,131970.214001,298237.871071
 Banano,152.2,265.2,217.3,1055.7,765.7,3326.3,3756.0,2791.9,841.1,2391.646,10572.756,6150.332,29466.729,46792.0,784.436,8737.296,10709.357,6329.953,31221.703,10316.544,16280.638184,27856.028623
 Cacao,380.543,321.3,156.7,210.9,131.0,75.6,77.7,132.78,225.4,488.357,504.19,425.24,365.002,482.923,515.592,1395.219,1109.736,972.666,784.61,1193.625,1241.232,1991.808063
 Coco,3.14,17.9,39.9,63.0,2.9,2.7,0.0,71.106,334.25,100.468,25.387,38.415,43.757,0.0,62.05,39.1,26.0,0.0,0.0,20.0,30,240.8
 Palma Africana,5236.5,3778.6,3847.3,2418.2,3010.9,5914.1,4893.3,6022.56,7505.1,8650.874,11777.411,23140.031,11008.778,11386.44,8159.3,21957.504,43000.383,44872.383,11763.159,14489.391,15976.446613,49868.39056
 Caña Azúcar,8541.8,11939.4,17408.2,8867.8,10614.3,40873.2,28609.8,58634.47,46872.45,16231.3,26972.688,10891.904,39602.176,32667.271,11642.955,11540.055,74899.079,41226.734,38158.485,55715.664,37224.383663,143871.60731
 Caña Panela,1402.68,984.1,519.5,635.0,379.8,624.1,348.1,560.127,874.38,1932.627,2405.147,2461.108,2829.115,1290.559,809.175,853.06,663.95,733.34,540.58,548.947,913.295,1247.506678
 Café Tradicional ,1884.21,1290.7,632.6,237.4,611.1,269.4,84.8,100.334,133.16,144.473,520.437,835.512,402.698,532.129,496.654,1637.556,1184.7,1427.966,923.746,1305.707,2258.4785,2461.411462
 Café Tecnificado  ,8644.8,6599.3,4263.5,1248.2,4547.8,5185.5,7693.3,22582.045,31199.0,51040.697,59139.63,64573.865,64684.686,61036.765,45996.946,54651.088,61345.943,75630.406,42410.074,43489.318,47418.829519,57579.479347
 Café control broca,103.977,39.6,35.2,2.2,27.7,0.0,1.0,2.0,0.0,0.0,0.0,3.0,45.6,11.0,1.2,2.0,0.0,3.0,14.0,5.3,7.5,0.0
 Frutales  1/,1994.7,1201.8,865.2,1133.6,1157.7,1074.0,976.3,2024.032,2839.89,3098.413,3263.117,3337.358,2466.553,3367.668,3872.311,12740.909,9686.552,5312.152,3785.323,6725.389,6397.116522,9091.695966
 Aprovechamiento de Bosques,81.67,37.2,0.0,181.0,11.2,145.6,0.0,6.0,116.8,327.7,65.0,0.0,0.0,155.0,0.0,2.2,491.0,36.0,800.0,574.72,610,380.0
 Viveros,86.1,53.6,5.0,20.0,4.6,17.2,49.8,72.41,117.9,1302.6,410.815,112.42,122.264,1479.914,377.995,1343.6,407.7,451.8,257.3,153.5,472.5,852.694
 Control Fitosanitario,6.61,10.2,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0,0.0
 Pastos y Forrajes,6203.2,3538.4,3113.5,1208.1,711.8,435.2,518.6,980.88,703.34,1441.428,754.334,870.48,484.832,315.475,2147.85,2132.834,638.9,140.3,116.772,161.497,337.484,47.93
 Plátano,538.661,418.1,322.7,226.1,533.7,729.1,960.4,671.904,1597.71,2571.105,1225.861,1379.044,1396.83,1523.219,1851.572,4430.273,3483.804,3436.079,2133.469,1528.384,2656.81,2219.291816
 Cardamomo,15.6,,,0.0,70.5,0.0,0.0,0.8,3.5,103.872,0.0,0.0,0.0,111.074,0.0,0.0,6.0,11.25,0.0,0.0,3,6.0
 Otros 2/,21.2,232.5,2188.7,3714.0,3884.5,5263.4,1256.8,2063.6,9989.45,2547.574,4161.293000000001,5806.376,95108.108,63900.635,331.0,1077.4,453.8,94.2,12893.0,10495.971,142.5,523.227246
 TOTALES,39851.30399999999,33853.6,35325.8,21561.199999999997,27957.7,65831.9,51998.60000000001,99886.49200000001,109881.59,102350.858,129331.224,130339.077,251709.74800000002,229567.442,89143.845,148823.774,228542.69299999997,210593.251,163064.204,160890.67299999995,148765.60068499998,313774.998925
"1/: Frutales clima cálido, medio y frío",,,,,,,,,,,,,,,,,,,,,,
"2/: Caucho, espárragos, flores tropicales y morera para 1995, Flores y Morera para 1996 y 2002, 2003, 2004, 2005/2007 y 2008 - 2011 - 2012 flores tropicales",,,,,,,,,,,,,,,,,,,,,,
"     esparragos y flores tropicales para 1999 y 2000, flores tropicales para el 2001,",,,,,,,,,,,,,,,,,,,,,,
"FUENTE: FINAGRO, con base en Informe de Aprobaciones.",,,,,,,,,,,,,,,,,,,,,,
"ELABORO: Ministerio de Agricultura y Desarrollo Rural, Oficina Asesora de Planeación y Prospectiva - Grupo de Información y Estadísticas Sectoriales.",,,,,,,,,,,,,,,,,,,,,,
