TABLA 106. PRECIOS MENSUALES DE LOS PRINCIPALES FERTILIZANTES COMERCIALIZADOS EN COLOMBIA  2006 - 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,($/Ton)
Producto,UREA,DAP,KCL,15-15-15,17-6-18-2,18-18-18,13-26-6,10-30-10,10-20-20
Mes,,,,,,,,,
,,,,,,,,,
2006,,,,,,,,,
Enero,674805.9794548249,766115.089407107,573240.6974363056,754676.5342509529,723393.642835077,759439.0792130304,790339.6775771527,853640.4314915903,783686.610092166
Febrero,675547.4223905094,759804.8195989045,585647.1702026825,748809.405771872,724627.3735530677,752227.4031304823,785181.5977389332,860011.0466729989,782264.144159261
Marzo,678950.9159504586,778714.7918572527,559194.363917565,745142.4081794523,724339.1985074014,739776.4346336101,775713.7111518858,842561.5203097011,792040.016065892
Abril,698633.5051510351,759192.2651628545,577852.2163538993,752672.0791015425,728377.2826626304,755471.2107456707,781435.623694157,863423.3950094954,754311.6186701434
Mayo,724514.7715282359,787564.7798396394,575256.9889156758,746472.0097181968,725226.7520859295,761186.0909229234,783055.2376322119,855578.8479787072,791235.6511113868
Junio,742215.2514858616,816952.7778125742,598291.5448571123,737857.3705572902,722349.1542892578,770831.3066992768,785702.046990748,843300.3728867128,783216.3357613264
Julio,715110.4809356829,850396.6844170482,606429.2777747681,748091.7725489389,723292.5451497905,768663.4725320484,780037.70502137,848224.8403561108,788531.0388309028
Agosto,710937.4869871547,839126.0209794091,595265.1390436119,753981.5407233201,730374.8159230967,746104.0632603407,787497.1319674086,839303.3106687679,793112.6753305973
Septiembre,725615.8601729426,837670.3195534609,612216.1209505249,780844.4755690806,746107.3425137409,752454.2054560245,805317.7902621723,884528.1404417459,810884.0212311066
Octubre,712437.2753184245,829713.1934063642,601900.7704095189,785564.3783042612,755648.1208936833,759371.2806044986,819021.4074958224,893328.276142132,824518.6898410474
Noviembre,729859.3855527156,856976.8761161686,601198.5943473892,792433.3563527862,754521.3321626855,761594.6172994309,817994.3671640098,882922.2347668204,827969.3014707548
Diciembre,753544.4640109737,822332.0976030368,619608.2783382249,786167.0738977968,746752.2492995022,830834.5536888611,811874.7516212417,855205.6310794007,799978.7031661317
2007,,,,,,,,,
Enero,810962.9438209666,828010.3496731797,605826.5926188974,790051.7781180864,756985.7289808244,764839.6763471963,809979.8008931894,886755.6820040041,808761.0372466007
Febrero,851731.4059531669,885578.1820688931,597178.5668653587,790468.1405269167,754644.3307712168,773044.3770745783,821479.9285138944,898120.1280973159,827798.4671022429
