Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80
"TABLA 108. EMPLEO POR RAMA DE ACTIVIDAD ECONÓMICA NACIONAL, CABECERA Y RESTO  2002 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepto,2002,,,,,2003,,,,,2004,,,,,2005,,,,,2006,,,,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,
,Ene -Mar,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene -Mar,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene -Mar,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene -Mar,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene -Mar,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene - Mar,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene - Mar,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene - Mar,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene - Mar,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene - Mar,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene - Mar,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene - Mar,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene - Mar,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene - Mar,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene - Mar ,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO,Ene - Mar ,Abr - Jun,Jul - Sep,Oct - Dic,PROMEDIO
Ocupados Total Nacional,15774.941666666668,15794.428666666667,15829.766666666668,16226.602666666668,15906.434916666667,16221.201333333333,16478.037666666667,16617.002,17199.192333333336,16628.858333333334,16452.805666666667,16426.163,16704.050666666666,17031.028333333335,16653.511916666666,16527.128333333334,16805.314333333332,17153.879666666668,17707.792333333335,17048.52866666667,17061.582666666665,17176.707,16678.540333333334,16661.90166666667,16894.68291666667,16481.358,17023.900333333335,17070.014333333336,17847.896,17105.792166666666,17254.575,17484.737666666668,17417.865,17609.234666666667,17441.603083333335,17641.536333333333,18484.914,18313.634666666665,19240.521666666667,18420.151666666665,18614.944333333333,19102.521333333334,19339.399,19796.425333333336,19213.322500000002,19194.487666666668,19723.50766666667,20023.652000000002,21136.396666666667,20019.511000000002,20188.314333333332,20777.804666666667,20627.382999999998,21192.167666666664,20696.417416666663,20321.441333333332,20968.562666666665,21144.823999999997,21757.945666666667,21048.193416666665,20706.617,21419.453333333335,21614.921,22272.3,21503.322833333335,21368.211333333333,22017.274,21936.312333333335,22746.970666666664,22017.19208333333,21552.325,22143.667,22092.050000000003,22836.521666666667,22156.140916666667,21754.665999999997,22578.160000000003,22329.415999999997,22868.07966666667,22382.580416666668
No informa,25.999,14.435666666666668,7.641000000000001,15.271666666666667,15.836833333333333,5.406333333333333,3.7229999999999994,3.138333333333333,5.592,4.464916666666666,10.174666666666667,8.141666666666666,4.365666666666667,4.050999999999999,6.683249999999999,3.1229999999999998,2.6576666666666666,0.8093333333333333,0.6523333333333333,1.8105833333333332,0.2956666666666667,0.25733333333333336,1403.9696666666666,13.995666666666667,354.62958333333336,22.19966666666667,5.656333333333333,8.459,10.386666666666665,11.675416666666665,15.397333333333334,25.907,27.061666666666667,29.900333333333332,24.566583333333334,17.430666666666667,16.417,13.18,6.773333333333333,13.45025,5.623,9.146333333333333,8.134,8.238999999999999,7.785583333333333,1.9436666666666664,3.908333333333333,4.481,3.4523333333333337,3.446333333333333,6.564,6.745333333333334,2.2456666666666667,10.031666666666668,6.396666666666667,1.1716666666666666,4.213333333333333,2.671666666666667,6.596,3.6631666666666667,2.268333333333333,1.6059999999999999,5.113666666666667,3.5043333333333333,3.123083333333333,1.6183333333333334,0.09433333333333332,2.6906666666666665,1.9003333333333332,1.5759166666666666,2.7573333333333334,2.219333333333333,3.078333333333333,0.45533333333333337,2.1275833333333334,3.217,1.663,7.056,3.5203333333333333,3.8640833333333333
"Agricultura, ganadería, caza, silvicultura y pesca",3411.2666666666664,3198.7773333333334,3127.654666666667,3322.7376666666664,3265.1090833333333,3533.6470000000004,3518.0893333333333,3447.462,3627.2550000000006,3531.6133333333337,3602.2870000000003,3109.2703333333334,3302.6059999999998,3542.008333333333,3389.0429166666668,3359.485,3495.508,3735.476666666667,3529.5056666666665,3529.9938333333334,3338.4403333333335,3524.4746666666665,2945.0516666666667,3096.262666666667,3226.0573333333336,3067.467666666667,3265.2340000000004,3041.6783333333333,3192.2416666666663,3141.655416666667,3353.7466666666674,3131.656333333334,3058.3349999999996,3160.9149999999995,3176.16325,3420.717,3344.266333333333,3434.358666666667,3562.2713333333327,3440.403333333333,3507.188,3515.544,3591.7773333333334,3630.764333333333,3561.3184166666665,3570.446,3465.0316666666663,3522.9103333333333,3978.8269999999998,3634.3037499999996,3618.3836666666666,3515.1749999999997,3539.7106666666664,3816.429,3622.424583333333,3599.536,3366.2450000000003,3532.576333333333,3698.919,3549.3190833333333,3404.5219999999995,3336.242333333333,3594.0623333333333,3646.613,3495.3599166666663,3489.0033333333326,3379.7436666666667,3488.8053333333332,3816.853333333333,3543.6014166666664,3439.9959999999996,3507.733666666667,3608.7819999999997,3727.897333333333,3571.1022499999995,3529.015,3691.6873333333333,3784.287666666667,3915.4756666666667,3730.1164166666667
Explotación de Minas y Canteras,230.8663333333333,113.80033333333331,264.713,123.66133333333335,183.26025,219.2976666666667,112.15666666666665,204.82833333333335,162.05633333333333,174.58475,246.79966666666664,153.12099999999998,187.61733333333333,204.961,198.12475,175.78566666666669,237.40699999999995,130.61366666666666,172.879,179.17133333333334,200.602,211.84766666666667,109.51866666666668,256.498,194.61658333333332,235.77966666666666,139.807,103.76833333333333,242.47899999999996,180.4585,187.49800000000002,217.24700000000004,148.739,255.6833333333333,202.29183333333333,117.81500000000001,222.99799999999996,242.04866666666666,151.82366666666667,183.67133333333334,179.66233333333332,232.18499999999997,290.7566666666667,150.62766666666667,213.30791666666667,198.88233333333335,280.9053333333333,327.382,167.7806666666667,243.73758333333333,184.71433333333334,279.2113333333333,291.1306666666666,186.11233333333334,235.29216666666665,240.052,237.03233333333333,278.4403333333333,139.289,223.70341666666667,211.7986666666667,236.617,246.55233333333334,162.31266666666667,214.32016666666667,179.69299999999998,217.90766666666664,243.20733333333337,175.29733333333334,204.02633333333333,183.606,195.22133333333332,215.47933333333333,129.55633333333333,180.96574999999999,184.71466666666666,217.13233333333335,213.5583333333333,127.609,185.75358333333332
Industria manufacturera,2111.891,2066.6023333333333,2059.811,2272.4893333333334,2127.6984166666666,2232.295,2191.738,2131.692666666667,2346.5446666666667,2225.5675833333335,2192.931,2330.9649999999997,2284.293333333333,2413.88,2305.517333333333,2265.237666666667,2358.9126666666666,2253.2363333333333,2461.3476666666666,2334.6835833333334,2205.9493333333335,2404.690666666667,2083.038,2177.7160000000003,2217.8485,2133.485666666667,2272.5376666666666,2359.5633333333335,2434.2526666666668,2299.9598333333333,2206.918,2328.0246666666667,2335.4869999999996,2397.4336666666663,2316.965833333333,2272.893,2470.074,2346.2309999999998,2576.753,2416.4877500000002,2328.1103333333335,2444.2703333333334,2389.1096666666667,2659.666,2455.289083333333,2390.822,2637.4916666666663,2544.081,2843.3053333333337,2603.925,2616.403,2737.9370000000004,2531.0726666666665,2739.800333333333,2656.30325,2405.1273333333334,2659.141,2461.9393333333333,2604.6803333333337,2532.722,2441.063666666667,2644.485666666667,2510.971666666667,2746.977666666666,2585.8746666666666,2597.9030000000002,2678.6703333333335,2459.4623333333334,2685.9906666666666,2605.5065833333333,2372.644,2571.176,2493.551,2762.4756666666667,2549.9616666666666,2495.289,2762.143,2499.5273333333334,2788.4013333333332,2636.340166666667
Suministro de Electricidad Gas y Agua,74.93433333333333,83.70266666666667,66.72800000000001,83.09533333333333,77.11508333333333,54.40366666666666,55.292,65.319,67.68333333333334,60.674499999999995,65.73466666666667,81.166,68.26100000000001,68.92099999999999,71.02066666666667,87.49166666666667,80.128,83.673,67.24166666666666,79.63358333333333,87.67399999999999,83.831,65.139,75.41733333333333,78.01533333333333,61.013,69.78766666666667,83.63733333333333,75.60466666666667,72.51066666666667,69.28366666666666,72.00866666666667,78.60466666666667,73.855,73.438,87.07433333333334,78.34933333333333,64.673,85.19099999999999,78.82191666666667,92,89.77533333333334,102.734,98.49433333333333,95.75091666666665,95.866,98.20533333333333,114.65833333333335,128.0186666666667,109.18708333333333,111.129,97.20633333333335,102.63366666666666,122.22800000000001,108.29925,109.47433333333333,98.49866666666668,114.57166666666666,113.367,108.97791666666667,118.10066666666667,121.76666666666667,118.271,126.15966666666667,121.0745,123.37533333333333,106.776,118.83366666666666,120.26133333333333,117.31158333333333,120.69366666666667,111.31366666666668,93.443,127.07099999999998,113.13033333333333,109.04399999999998,118.28033333333333,120.28833333333334,113.17233333333333,115.19624999999999
