Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,1000,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
TABLA 113. IMPORTACIONES DE PRODUCTOS DE ORIGEN AGROPECUARIO Y AGROINDUSTRIAL. 1992 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,(Miles de US$ CIF)
D E S C R I P C I O N,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,
  I.  ANIMALES VIVOS Y PRODUCTOS DEL REINO ANIMAL,40569.937000000005,60118.009000000005,88882.75200000001,110915.97700000001,127294.71999999999,147633.77399999998,147705.683,87345.15800000001,92061.55399999999,121943.826,90448.324,59788.551999999996,69948.968,94682.91839,108663.82169,137537.91544,184269.90952000002,155213.40154,179405.18026000002,269733.10699999996,417843.7010600001,497992.681,658545.7590199999,516270.0518099999,590594.32002,616821.8301300001
    1 Animales vivos,5185.009999999999,8481.321,29582.780000000002,10435.751999999999,22315.187,12088.195000000002,10434.547999999999,6981.471,7012.249999999999,7093.568,7517.6849999999995,6991.641,6561.490999999999,7785.88331,8955.506870000001,9167.43475,14940.53843,14846.484599999996,13787.61163,10988.917449999999,10671.62455,12035.45278,11210.95179,13739.197150000002,13320.30216,14322.35767
    2 Carnes y Despojos Comestibles,7915.445000000001,12888.71,18419.149999999998,28342.518,34946.049999999996,36879.697,32052.649,28401.310000000005,27837.967,28826.907,22065.090999999997,9457.981,13464.801000000001,18250.113660000003,18992.470839999998,31257.378529999998,44040.777299999994,36479.584689999996,49642.75930000001,76557.92431999999,114512.31249000004,187357.71603,242127.81702999998,173959.67106999995,189137.72029999996,270178.35305000003
"    3 Pescados y crustáceos, moluscos e invertebrados acuáticos",3566.8469999999998,11142.308,20705.949999999997,37547.167,28669.288999999997,26421.79899999999,35079.82,18859.289,14059.026999999996,14327.608999999999,17912.989,23491.490999999998,33548.86699999999,43114.65862,55872.520789999995,66400.91069,82547.47375,77674.8704,91517.85276,121421.91997,157704.93557,224909.66464999996,262563.09923,212415.31591999994,217365.42494,203438.07841000002
"    4 Leche y Productos Lácteos, Huevos ave; Miel nat.",19862.441,20861.136000000002,15261.707999999997,30164.74,33372.204,64483.32799999999,61886.36899999999,25542.600000000002,35741.597,63369.782999999996,32073.371999999996,6385.392000000001,6837.331,11794.75546,11518.21133,17855.85142,25087.135579999995,12043.130139999997,11368.909840000002,47725.58056999999,119218.39566000002,57382.76758999999,121113.86722999999,91729.42590999999,145537.86710999996,112419.06304000001
    5 Productos de Origen Animal N.E.P.,4040.194000000001,6744.534,4913.164,4425.799999999999,7991.990000000001,7760.754999999999,8252.297,7560.488,7410.713,8325.958999999999,10879.187000000002,13462.047,9536.478,13737.507339999998,13325.111859999999,12856.340049999999,17653.98446,14169.331710000002,13088.046730000002,13038.76469,15736.432789999999,16307.079949999998,21530.02374,24426.441759999998,25233.005509999995,16463.97796
,,,,,,,,,,,,,,,,,,,,,,,,,,
 II.  PRODUCTOS DEL REINO VEGETAL,389730.9579999999,430543.212,615506.58,716929.3450000002,1018010.2359999999,963860.821,912184.8150000001,683224.8950000001,739533.143,755682.506,837307.8859999998,852807.559,992036.1520000002,958838.5486000001,1213513.5236100003,1641970.6848199998,2143588.1033700006,1674826.67338,1884067.4004800003,2398655.8643300002,2698722.21153,2614212.48212,2521226.37514,2418107.0396999996,2336604.1455600006,2302690.27754
