Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
TABLA 116. BALANZA COMERCIAL  DE PRODUCTOS DE ORIGEN AGROPECUARIO Y AGROINDUSTRIAL. 1992 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,(Toneladas)
D E S C R I P C I O N,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,
  I.  ANIMALES VIVOS Y PRODUCTOS DEL REINO ANIMAL,71767.29100000003,9584.380000000023,-552.1659999999945,1898.8290000000043,-19802.635999999995,-10382.591000000013,31049.809,17510.984000000015,25186.752999999997,30174.849999999977,15828.563999999995,25794.999999999996,139009.665,81553.98736999999,135811.66134,140494.95987,184491.2027,106414.39927999998,-15146.264089999997,-11771.43761999999,46909.064590000016,-218.53321999997843,-140350.78235000002,-126635.43627,-203979.19049000007,-208972.17186000003
    1 Animales vivos,19833.234000000004,-2203.263,-22339.117,5406.9670000000015,-13301.455999999998,2744.9159999999993,47231.350999999995,3567.721999999999,918.962,5088.711999999999,420.1419999999998,-367.08699999999993,105778.46500000001,61201.94568,114203.11909999998,63414.779910000005,4295.13712,2062.6598999999997,10603.90262,22287.099730000005,134705.26139,110124.61353,23534.591040000003,32255.397829999998,32924.85448999999,26588.951629999996
    2 Carnes y Despojos Comestibles,-844.7129999999997,-11045.763,-15374.135999999995,-23607.358000000004,-26257.003000000004,-21891.403,-19383.746,-21192.263000000003,-21959.498000000003,-19329.839999999997,-17826.552,-5780.544,1211.2390000000003,-3673.213130000002,7045.2036,61671.595949999995,126844.42368999998,76615.4512,-20610.246909999998,-21803.990869999998,-38110.99172,-55585.57902,-87799.07449000003,-76889.7827,-107872.09474000002,-123240.41442
"    3 Pescados, Crustáceos y Moluscos",69160.41600000003,47369.27000000002,45610.879,29398.70700000001,42676.619000000006,43021.38099999999,34249.53,48269.28000000002,62278.635,52209.35799999998,39130.668,24091.606000000003,23611.964999999997,20820.453799999992,11020.698240000002,17154.15124,32908.24521,29789.26156999999,4441.073999999999,6002.787160000003,-10017.456460000003,-37943.60378999999,-37186.97632,-43592.716440000004,-51673.62437000002,-60191.02859000002
"    4 Leche y Productos Lácteos, Huevos ave; Miel nat.",-10160.799000000003,-9050.395999999997,-6536.665999999999,-10507.652000000002,-13199.508999999998,-23040.365999999998,-23531.224999999995,-5122.978999999999,-7569.830000000003,-501.2280000000037,9868.147999999996,32075.444999999996,23312.822,21506.53306,20128.78634,13390.67052,34835.810600000004,8783.84136,-1004.0878800000003,-13172.20279,-31922.340679999998,-8927.619909999998,-25371.793540000002,-24575.783760000006,-57811.68816,-38541.56497
    5 Productos de Origen Animal N.E.P.,-6220.847000000002,-15485.468,-1913.125999999999,1208.165,-9721.287,-11217.119,-7516.101000000001,-8010.776000000002,-8481.516000000001,-7292.152,-15763.842,-24224.420000000002,-14904.825999999997,-18301.73204,-16586.145940000002,-15136.23775,-14392.413919999997,-10836.814749999998,-8576.90592,-5085.130850000001,-7745.40794,-7886.344029999999,-13527.529040000003,-13832.551200000002,-19546.63771,-13588.115510000001
,,,,,,,,,,,,,,,,,,,,,,,,,,
 II.  PRODUCTOS DEL REINO VEGETAL,-161585.64699999944,-326050.4420000001,-962734.008000001,-1474801.9800000002,-2181675.69,-2163576.9680000003,-2645595.5749999997,-1588511.267,-2113591.5609999998,-2526172.315999999,-2754187.3099999996,-2462238.9790000003,-2738608.250999999,-2627366.75395,-3724186.85536,-3798022.4985700003,-3660055.419020001,-3527460.6592600006,-4243186.956569999,-3800951.2281200006,-4729038.00273,-4906264.817390002,-5130276.07561,-6076628.51527,-6056543.2806899985,-5857513.8765
