Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
TABLA 2. PRODUCCIÓN OBTENIDA DE LOS PRINCIPALES PRODUCTOS AGRÍCOLAS TOTAL NACIONAL 1987 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Toneladas)
Años,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017
Cultivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transitorios,7812330,8155820,8855370,8753150,8349403.9,7653453.648999998,8063789.236,8250352.9805999985,8083909.753766666,7820898.760899998,8126563.8473000005,7329906.512500001,8240218.7650999995,8798191.1699,8718683.39526711,8305049.7304,8704760.336,9093357.898999998,8468913.720999999,8764013.77,8766221.3,9000500.9,9405469.425,8899319.5,8748600.45,9046548.840000002,9107485.0,9001167.710925762,9500444.734659372,10412198.960421348,11207369.188997913
Ajonjolí,10890,7480,8920,8230,5602,3785.2,9772,8767.56,6943.966666666667,7526.85,6947,3450.29,5069,4112.6,3814.1,3096,2722.5,3008,2700,3580,2947.0,2305.0,2180.0,1949.0,1593.0,2421.0,2559.0,3766.0,2895.0,2688.0,3727
     Algodón Fibra,114300.99799999999,120611.376,111910,119384.6,151058.0116,104301.5778,69530.78480000001,54889.73325,54018.148799999995,70991.62064,36002.18043809999,35996.0964,40003.49336,39998.304000000004,41014.429540000005,33444.142,34240.964,53906.686,54842.208000000006,43655.16,41320.06,35275.78,29804.920000000002,39209.54,36561.7,37057.6,24194.6,25923.22,19850.82,11103.22,8971.42
     Algodón Semilla,180586.602,225713.424,159030,169651.80000000002,230317.8684,177760.3022,96448.2552,79023.16675,80442.6112,98386.72735999999,64276.37240189999,53026.507600000004,62455.342639999995,62219.58400000001,63858.48646000001,48405.995,49559.29000000001,78022.835,79376.88,63185.100000000006,59805.350000000006,51057.05,43138.700000000004,56750.65,52918.25000000001,53636.00000000001,35018.5,37520.450000000004,28731.45,16070.45,12984.95
     Mermas  Algodón,25642.4,30115.2,23560,25133.600000000002,33163.12,24527.12,14432.960000000001,11644.6,11692.24,14728.552,8719.87416,7741.096,8909.464,8888.512,9119.384,6160.763,6307.546000000001,9930.179000000002,10102.512,8041.740000000001,7611.590000000001,6498.170000000001,5490.38,7222.81,6735.050000000001,6826.400000000001,4456.900000000001,4775.330000000001,3656.7300000000005,2045.3300000000002,1652.63
