Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Tabla 38. VALORACIÓN DE LA PRODUCCIÓN AGROPECUARIA. 2001 - 2017,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,(Millones de $ de 2005),
Años,2001,2002,2003,2004,2005,2006,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016,2017.0
Cultivos,,,,,,,,,,,,,,,,,
Transitorios,4949258.731205789,4691951.484041529,4913588.626174843,5188369.297542284,4858646.430852514,4983254.815011626,4994560.960779706,5115039.595423914,5327320.450033168,5066548.0570015665,4973219.573638473,5156463.420812881,5144585.329618917,5089230.423908843,5339751.554781243,5814708.387751636,6260145.494510412
Ajonjolí,11408.422621152491,9260.500887519496,8143.31836765886,8997.282516039613,8076.018215860026,10708.20193065885,8814.824326718332,6894.526662058281,6520.63692984254,5829.688704707849,4764.8507473574155,7241.49633355449,7654.2705979206685,11264.549852195873,8659.286198116582,8040.124801567315,11147.896255744563
Algodón Fibra,163673.7171455626,133463.44443351316,136643.2721211363,215122.03816010116,218855.36725741602,174211.91492657,164893.37749491166,140772.84757010164,118940.62895275667,156471.05741428834,145904.48803694165,147883.44513186667,96551.87604128332,103450.17169248167,79217.425043515,44308.92517748166,35801.68433263167
Algodón Semilla,20987.435947793616,15908.891298074746,16287.927919253865,25642.625480224546,26087.63967149779,20766.123856311246,19655.35079267175,16780.17482029586,14177.766391131041,18651.407164444936,17391.868237278133,17627.760645422888,11509.018870940068,12331.298230825514,9442.74598396479,5281.640056384448,4267.573842061002
Algodón Total,184661.15309335623,149372.3357315879,152931.20004039016,240764.6636403257,244943.00692891382,194978.03878288125,184548.72828758342,157553.0223903975,133118.3953438877,175122.46457873328,163296.35627421978,165511.20577728955,108060.89491222339,115781.46992330719,88660.1710274798,49590.56523386611,40069.258174692666
Arroz Riego,952106.8984214499,914907.8427985415,930862.7923784999,985379.0780457415,923654.7528336516,926577.6210569165,973011.0426355333,1032297.3752754165,1087605.1133561665,884367.5801345833,855593.6138234999,849470.0570395249,814967.9489344999,776302.9493867499,767898.9662270832,850321.0367239999,877949.1596538333
Arroz Sec. Mec.,395157.8118522083,449049.2309288749,536789.42933625,613197.6610894998,454439.78745799995,391384.45057424996,373917.83650391665,475560.65167949995,571281.2955819166,442364.0128410832,422159.25747599994,500613.0318579999,536977.2910659165,429075.05886149994,553063.8004414999,829605.8859367499,845949.2905691665
