TABLA 4. SUPERFICIE TOTAL Y APROVECHAMIENTO DE LA TIERRA A NIVEL NACIONAL - 2000 - 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
USO DEL SUELO,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
,,,,,,,,,,,,,,,,,
Superficie planimetrada del marco,114174800.0,114174800.0,114174800.0,114174800.0,114174800.0,114174800.0,114174800.0,114174800.0,114174800.0,114174800.0,114174800.0,114174800.0,114174800.0,114174800.0,114174800.0,114174800.0,114174800.0
,,,,,,,,,,,,,,,,,
No agropecuaria excluida del universo de estudio***,63469346.0,63499342.00000001,63590819.00000001,63483683.0,63036333.0,63043516.0,63005148.999999985,63098655.200000025,63264008.0,63232814.53820419,63467173.34418546,76571419.0,76615266.0,76359264.41157633,76435826.82781821,76442467.5397037,66926649.35011249
"Bosques, paramos y sabanas",,,,,,,,,,,,,,,,,
Bosques no colonizados,44713742.0,44686124.958960064,44762888.815682486,45228771.725316845,44888616.93508268,44893732.0,44866410.58893459,44932997.01287611,45049094.2985216,44983215.89495917,45149936.49475107,57743680.407156326,54872714.0,54548956.80074496,54603650.883621775,54608394.82541533,47810556.22196933
Bosques colonizados,10594892.0,10582506.994789831,10614117.66765095,10725655.986291707,10646512.828198826,10647726.0,10641246.010789974,10657038.727631805,10684574.243879307,10701319.637528174,10740981.77357242,12869104.319360621,17909633.0,13306615.504792554,13319957.52220065,13321114.754403176,11662857.110904912
Bosques plantados,19531.0,19519.220544985605,19550.001229737343,19752.998133095258,19604.76603384557,19607.0,19595.067579082992,19624.148699231817,19674.85331607346,19631.20228886892,19703.961111356824,19927.80681577242,19638.0,22956.933958916874,22979.95196919951,22981.948457580715,20121.077397246263
Eriales y similares,690056.0,689718.8113362,691775.0435141459,707146.9331657932,701822.0272702747,701902.0,701474.8367365487,702515.8984183307,704331.049740327,674434.1311656092,676933.7759915956,203258.36163437358,567526.0,756321.477261512,757079.8109123269,757145.5856819242,662893.5296155945
Cuerpos de agua,2819071.0,2839456.3104578075,2847204.1790952985,2868665.728875302,2847193.5618485175,2847518.0,2845785.058532934,2850008.4998081904,2857372.314218333,2852681.331531168,2863254.1803848078,2844232.4191744635,2469289.0,3295000.378286108,3298304.1449269145,3298590.7001778507,2887970.9178106
Superficie urbana y semiurbana,329876.0,375574.41491163307,350876.0220708604,355185.9664304952,353061.76855627785,353102.0,352887.10931347794,353410.83051951614,354323.96876687766,381842.2770176133,383257.49316398526,452640.1087862756,417554.0,432743.19226284476,433177.08675707784,433214.72099677834,379286.6800172184
Marginalmente cultivable en parques naturales,4302178.0,4306441.28899948,4304407.270756523,3578503.661786762,3579521.1130095758,3579929.0,3577750.3281133776,3583060.0820468334,3594637.2715574717,3619690.063713592,3633105.6652102103,2438575.577072166,358912.0,3996670.1242694333,4000677.427430272,4001025.0045710565,3502963.812397588
Superficie Agropecuaria Planimetrada incluida en el universo de estudio,50705454.0,50675458.0,50583981.0,50691117.0,51138467.0,51131284.0,51169651.0,51076144.8,50910792.76107529,50941985.46179581,50707626.65581455,37603381.0,37559535.06007008,37815535.58842367,37738973.17218178,37732332.46029631,47248150.64988751
,,,,,,,,,,,,,,,,,
Agrícola,4432249.0,4105023.0,3730255.0,3749752.0,3708455.0,3612478.0,3369311.0,3570024.0,3461205.11137741,3353472.424422198,3353057.702044714,2915425.0,2963731.4365925845,2755270.9619108355,2829914.9102395084,2869913.0986790494,3320755.4243874582
Cultivos transitorios y barbecho,2301694.0,1739213.93966523,1615378.0,1709644.0,1703729.0,1446851.0,1324392.0,1356104.0,1337456.36428097,1283120.89810963,1248370.4,1100921.0,1088874.7331338977,1033325.2750950109,1000227.9573002127,997292.9774663497,1170595.5779868388
Cultivos permanentes ,2130555.0,2122060.0,1963765.0,1927464.0,1902425.0,2009869.0,1936704.0,2054025.0,2057854.31346547,1997652.33741772,1992631.8214453058,1721657.0,1797704.3910193692,1676022.4271501147,1762820.5678791152,1786985.3509084575,2020239.2938365594
Descanso**,,243749.06033477,151112.0,112644.0,102301.0,155758.0,108215.0,159895.0,65894.4336309699,72699.1888948483,112055.48059940801,92847.0,77152.31243931786,45923.25966571014,66866.38506018043,85634.7703042421,129920.55256405985
Pecuaria,36730384.0,37609796.0,37813436.0,38302387.0,38682587.0,38944373.0,38804661.0,38866385.8,39152358.014661826,39185705.005761825,39150218.67833788,29148092.0,30000648.716033317,30362366.0022879,30359906.53403266,30199948.592478044,37490574.600868985
Pastos**,28982201.0,29530941.0,28725370.0,29854023.0,30452969.0,30976922.0,31016162.0,31445360.4,31520801.8383641,31625117.3402828,31235778.0974501,22946408.0,19554514.393788364,20258038.72281594,20336864.526238184,20988289.242131207,22631571.241577785
Malezas y Rastrojos**,7748183.0,8078855.0,9088066.0,8448364.0,8229618.0,7967451.0,7788499.0,7421025.4,7631556.17629773,7560587.66547902,7914440.580887778,6201684.0,6431078.52331267,7139863.612602274,7048951.013021838,7054212.926582355,8134831.564633622
