Unnamed: 0,Unnamed: 1,Unnamed: 2, ,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
TABLA 41.  EXTRACCIÓN REGISTRADA DE GANADO BOVINO EN COLOMBIA. 1990 - 2017,,,,,,,,,
,,,,,,,,(Número de Cabezas),
Año,Sacrificio Consumo Interno,,,Exportaciones   ,,,Extracción total,,
,Machos*,Hembras,Total,Machos,Hembras,Total,Machos,Hembras,Total
1990,2185086,1698467,3883553,42689,,42689,2227775,1698467,3926242
1991,1989377,1664646,3654023,198102,,198102,2187479,1664646,3852125
1992,1720004,1394803,3114807,83257,1536,84793,1803261,1396339,3199600
1993,1873014,1245993,3119007,9802,559,10361,1882816,1246552,3129368
1994,2054666,1296152,3350818,3682,,3682,2058348,1296152,3354500
1995,2113154,1410409,3523563,33458,,33458,2146612,1410409,3557021
1996,2205063,1458037,3663100,25015,,25015,2230078,1458037,3688115
1997,2283273,1499871,3783144,22797,,22797,2306070,1499871,3805941
1998,2263077,1508718,3771795,12426,,12426,2275503,1508718,3784221
1999,2140871,1427247,3568118,12449,388,12837,2153320,1427635,3580955
2000,2228646,1485764,3714410,2288,,2288,2230934,1485764,3716698
2001,2070190,1380126,3450316,7465,,7465,2077655,1380126,3457781
2002,1983449,1292350,3275799,83,75,158,1983532,1292425,3275957
2003,1950127,1300084,3250211,158,6,164,1950285,1300090,3250375
2004,2105400,1524600,3630000,296669,3216,299885,2402069,1527816,3929885
2005,2532594,1224000,3756594,92410,36653,129063,2625004,1260653,3885657
2006,2599820.3987999996,1326807.6012000004,3926628,256744,,256744,2856564.3987999996,1326807.6012000004,4183372
2007,2670060.3131268,1346880.1308732,4016940.444,246177,,246177,2916237.3131268,1346880.1308732,4263117.444
2008,2387690.15,1662338.8499999999,4050029,4456,,4456,2392146.15,1662338.8499999999,4054485
2009,2171348,1422125.7610644258,3593473.761064426,232405,,232405,2403753,1422125.7610644258,3825878.761064426
2010,2291410.2315126043,1314760.8270308122,3606171.0585434167,17491,,17491,2308901.2315126043,1314760.8270308122,3623662.0585434167
2011,2381845.81932773,1507847.6084033614,3889693.4277310916,10726,,10726,2392571.81932773,1507847.6084033614,3900419.4277310916
2012,2321285.16120448,1789221.094537815,4110506.255742295,14152,,14152,2335437.16120448,1789221.094537815,4124658.255742295
2013,2226139,1788055,4014194,120325,,120325,2159741,1788055,3947796
2014,2347813,1589767,3937580,44931,,44931,2291333,1589767,3881100
2015,2378669,1539106,3917775,68905,,68905,2316698,1539106,3855804
2016,2099985,1399019,3499004,133738,,133738,2042015,1397791,3439806
2017,2007766,1278503,3286269,106858,,106858,2114624,1278503,3393127
Fuente: DANE. ESAG,,,,,,,,,
*Incluye terneros,,,,,,,,,
