Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
TABLA  42.  DISPONIBILIDAD DE GANADO BOVINO PARA CONSUMO INTERNO. 1990 - 2017,,,
,,,
Año,  Sacrificio,Peso en pie ,Peso en Canal 
,"  Número de 
  cabezas",(t),(t)
1990,3883553,1475750.1400000001,767390.0728000001
1991,3654023,1388528.74,722034.9448
1992,3114807,1183626.66,615485.8632
1993,3119007,1185222.66,616315.7832
1994,3350818,1273310.84,662121.6368000001
1995,3523563,1338953.94,696256.0488
1996,3663100,1391978,723828.56
1997,3783144,1437594.72,747549.2544
1998,3771795,1433282.1,745306.692
1999,3568118,1355884.84,705060.1168000001
2000,3714410,1411475.8,733967.4160000001
2001,3450316,1311120.08,681782.4416
2002,3230875,1227732.5,638420.9
2003,3250211,1235080.18,642241.6936
2004,3630000,1379400,717288
2005,3754377,1426663.26,741864.8952
2006,3926628,1492118.6400000001,775901.6928000001
2007,4016940.444,1526437.3687200001,793747.4317344001
2008,4054485,1540704.3,801166.236
2009,3825878.761064426,1453833.929204482,826023.328
2010,3623662.0585434167,1465110.289,761857.3502800001
2011,3900419.4277310916,1579401.965,821289.0218000001
2012,4124658.255742295,1649035.96668908,854231.609207283
2013,4055956.10826331,1674735.931,868336.526
2014,3937870,1638266.646,848693.237
2015,3855804,1651058.645,854314.087
2016,3439806,1519845.88,792080.249
2017,3393127,1442897.552,757788.769
Nota: El dato de peso en canal corresponde al 52% de peso en pie.,,,
Fuente: DANE - ESAG,,,
