Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
TABLA 44.  PRECIOS DEL GANADO BOVINO EN LA FERIA DE MEDELLIN. 1999 - 2017,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Concepto,1999,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO PROMEDIO GANADO CEBADO ($/kg).,,,,,,,,,,,,,,,,,,,,,,,,
Macho,1662.9444444444443,1745.6983333333335,2232.849125,2470.4864861111114,2544.1160833333333,2666.7088472222217,2734.6792500000006,3092.0,3332,3539,3497,3249,3437,3359,3246,4015,4108,4755,4824,,,,,
Hembra,1394.715277777778,1457.7740000000001,1933.418083333333,2155.706541666667,2169.1895833333333,2198.3060416666667,2325.278416666667,2492.415,2890,3022,3117,2920,3016,2857,3055,3564,3591,4237,4202,,,,,
Industrial,N.R.,1041.672361111111,1487.7625694444444,1671.2633055555555,1669.0268333333336,1722.7986388888887,1802.0,1873.5225,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,2426,2800,,,,,
PRECIO MACHO ($cabeza),,,,,,,,,,,,,,,,,,,,,,,,
Ceba 2 años,425258.425,406783.4666666666,453090.55,541141.6402777779,572903.125,597321.6541666667,,701045.25,829283,940000,894608,816286,617188,840000,N.R.,900000,980882,1550000,1500000,,,,,
Ceba 2 1/2 años,393323.8125,384604.9472222223,549385.9666666667,643439.1583333333,675103.6736111111,683574.4277777778,731244.5277777776,778341.25,945875,1170000,973750,906818,820000,N.R.,1050000,N.R.,1007000,N.R.,N.R.,,,,,
Levante 1 año,240495.91666666666,159505.2361111111,237710.4833333333,428888.0694444445,395025.5847222223,353098.67022222216,384107.65694444446,412837.75,505535,521558,579811,494077,334135,620000,600000,585000,521391,915000,939516,,,,,
Levante 1 1/2 año,324076.32916666666,270460.8416666667,347529.70416666666,454459.8819444443,475562.39583333326,457796.5854444445,524185.56111111114,550172.25,660529,791486.5,761446,663236,553111,N.R.,760000,720000,792222,N.R.,1219907,,,,,
PRECIO HEMBRA ($cabeza),,,,,,,,,,,,,,,,,,,,,,,,
Cría 2 años,357820.78472222225,378464.9722222222,432067.0319444444,428433.16805555555,532185.7416666667,549615.0486111111,567182.0090277778,623125.0,674395,716666.6666666666,708409,731136,623125,840000,900000,954318,1145181.5999999999,1216000,1240000,,,,,
Cría 2 1/2 años,401309.0680555555,400539.09027777775,490623.2888888889,707709.2,595609.5277777778,613703.2972222222,617970.4208333333,735000.0,792754,850000,827500,859286,820000,N.R.,N.R.,883000,1045000,1248000,1300000,,,,,
Levante 1 año,191238.58194444445,141745.0625,229165.2638888889,303370.60555555555,347538.93749999994,319506.04027777776,343202.17777777783,344015.25,416209,370000,444808,401828,418654,290000,382000,475000,486190,693636,764688,,,,,
Levante 1 1/2 año,297647.9680555556,299690.32083333336,331305.0,382643.6166666667,421758.1375,427998.28194444446,455828.8944444444,446451.6666666667,551442,575000,570583,555389,528667,N.R.,N.R.,580000,776344,979000,881900,,,,,
Vacas con cría,777456.4097222221,408475.6666666667,602850.0027777777,1073168.5,874902.2194444444,827456.3083333332,802740.8388888888,1043939.3333333334,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,1435000,1808000,2593750,,,,,
Vacas de leche,NR.,762489.9041666667,1142038.2874999999,1483226.4416666664,1480704.0291666668,1441873.6763333334,1473019.9210625,1823077.0,2136538,2005660.3773584906,2231731,1705288,1833654,1800000,1822727,1600000,1716667,2942857,2250000,,,,,
FUENTE:  Feria de ganado de Medellín. Para los años 2016 y 2017 se toma referencia el último boletin de precios oficiales.,,,,,,,,,,,,,,,,,,,,,,,,
"Nota: NR. No reporta, Para los años 2012 - 2013 se toma la información de la útima semana.",,,,,,,,,,,,,,,,,,,,,,,,
"Elaboró: Ministerio de Agricultura y Desarrollo Rural. Dirección de Cadenas Pecuarias, Pesqueras y Acuicolas",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3850,3850,4000,4200,,4220,4000.0,4050.0,3950.0,3900.0,3900.0
