Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
TABLA 48. PRODUCCIÓN MENSUAL Y ANUAL DE LECHE EN MILES DE LITROS. AÑOS 2000 - 2017,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Mes ,Años,,,,,,,,,,,,,,,,,
,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0
Enero ,500351.3,501018.088,544481.533,522387.992,526037.963,530158.409,524294.181,521305.129,539721.569,529656.088,495360.24511414714,520790.97723745496,520184.5241733069,528403.4396552452,555880.418517318,572779.1832402444,525811.2902145444,582551.7085243604
Febrero ,405388.606,405928.843,441143.273,423242.909,477747.687,429538.564,424787.319,422365.565,437286.712,429131.579,450940.25212190725,479965.6365128832,505966.2376840698,513960.5042394781,540686.4504599309,557123.3185539128,511439.20643249195,566628.7298472123
Marzo ,475749.377,476383.379,517709.757,496702.54,500173.044,504090.891,498515.003,495672.92,513183.837,503613.269,505621.8237757175,540723.8562524108,536943.9663795476,545427.6810483445,573789.9204628584,591233.1340449293,542752.0170532451,601320.5131262982
Abril ,459918.666,460531.572,500482.802,508320.839,483529.629,515882.011,481926.759,479179.248,496107.483,486855.379,514370.98461183306,525066.9125583102,551824.0323236313,581622.5300691074,587438.7553697985,586851.3166144288,546945.4270846476,642116.043019486
Mayo ,523053.492,523750.534,569186.025,546090.043,549905.623,554213.025,548082.722,544958.048,564210.089,553687.912,551383.9454297305,543448.4502787755,534708.7967950782,563583.0718220124,569218.9025402325,568649.6836376922,529981.5051503291,622200.3331750553
Junio ,516365.79,487526.396,561908.478,539107.799,542874.593,547126.921,541074.999,537990.278,556996.164,546608.522,542421.9764354464,527039.4522317937,525198.3310438953,553559.0409202657,559094.6313294683,558535.5366981389,520555.12020266545,611133.7208535385
Julio ,542779.807,503777.276,590652.171,566685.154,570644.633,575114.483,568752.983,565510.467,585488.574,574569.566,561329.0210659526,542187.6885264299,563909.458851086,593232.7507113426,598571.8454677446,576424.687185438,579306.8106213652,634719.8230491657
Agosto ,530911.517,531619.031,577737.116,554294.155,558167.058,562539.171,556316.77,553145.154,572686.425,562006.169,555430.8310263922,536982.6431337812,557952.2070165204,586965.7217813794,592248.4132774118,570335.2219861476,573186.8980960782,628014.5164242355
Septiembre ,490889.922,491544.101,529819.434,512509.911,516090.864,520133.395,514380.056,511447.525,529515.72,519640.572,530183.192984044,521381.1713497062,543459.1555594607,571719.0316485527,576864.5029333896,555520.5163248542,558298.1189064785,611701.5659817844
Octubre ,512468.628,513151.563,547480.082,535038.996,538777.361,542997.595,536991.349,533929.909,552792.352,542483.109,543429.8919297722,536309.1191227349,562630.0746636942,594137.3588448612,588195.9852564125,560550.7739493612,554384.7154359182,587180.3171966246
Noviembre ,474218.26,474850.222,516043.599,495103.989,498563.325,502468.563,510175.698,507267.136,525187.649,501992.477,511018.9309548621,507518.4435175086,531698.59681376,561473.7182353305,555858.9810529773,529733.6089434873,523906.5392451089,554899.1509505061
Diciembre ,503106.816,506232.183,550147.952,527824.483,531512.44,535675.767,529750.51,526730.351,545338.451,535168.219,523634.82155019493,515783.6296457146,548096.5761400319,578789.9844038738,573002.084559835,546070.9865855228,540064.205733082,572012.652584665
Total año ,5935202.181,5876313.188000001,6446792.222000001,6227308.8100000005,6294024.220000001,6319938.794999999,6235048.349,6199501.73,6418515.025,6285412.861,6285125.917,6297197.980367504,6482571.957444082,6772874.833379794,6870850.891227378,6773807.967764158,6506631.854175955,7214479.074732931
Variación Absoluta,,-58888.99299999885,570479.034,-219483.41200000048,66715.41000000015,25914.574999998324,-84890.4459999986,-35546.61899999995,219013.29499999993,-133102.1640000008,-286.9439999992028,12072.063367503695,185373.97707657795,290302.8759357119,97976.05784758367,-97042.92346321978,-267176.11358820274,707847.2205569763
Variación Porcentual,  ,-0.9921986008920953,9.708111459494233,-3.4045367749095874,1.0713361427149124,0.411733004103354,-1.3432162676505612,-0.5701097571392637,3.5327564139577987,-2.073722091193531,-0.004565237102866604,0.19207353244668468,2.943753359105287,4.478205222270631,1.4465948398265596,-1.4123858165387162,-3.944252846547556,10.87885770120343
,,,,,,,,,,,,,,,,,,
 PRODUCCIÓN TRIMESTRAL Y ANUAL DE LECHE EN MILES DE LITROS. AÑOS 2000-2017,,,,,,,,,,,,,,,,,,
Trimestre,Años,,,,,,,,,,,,,,,,,
,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0
I,1381489.2829999998,1383330.31,1503334.563,1442333.441,1503958.694,1463787.864,1447596.503,1439343.614,1490192.118,1462400.936,1451922.321011772,1541480.470002749,1563094.7282369244,1587791.6249430678,1670356.7894401073,1721135.6358390865,1580002.5137002815,1750500.951497871
II,1499337.948,1471808.5019999999,1631577.3050000002,1593518.6809999999,1576309.8450000002,1617221.957,1571084.48,1562127.574,1617313.736,1587151.813,1608176.9064770099,1595554.8150688794,1611731.1601626049,1698764.6428113857,1715752.2892394993,1714036.53695026,1597482.0524376421,1875450.0970480798
III,1564581.246,1526940.408,1698208.721,1633489.22,1644902.5550000002,1657787.049,1639449.809,1630103.1459999997,1687690.719,1656216.3069999998,1646943.0450763889,1600551.5030099172,1665320.8214270673,1751917.5041412746,1767684.7616785462,1702280.4254964397,1710791.827623922,1874435.9054551856
IV,1489793.704,1494233.968,1613671.6330000001,1557967.468,1568853.126,1581141.925,1576917.557,1567927.396,1623318.452,1579643.8050000002,1578083.6444348292,1559611.192285958,1642425.2476174862,1734401.0614840654,1717057.0508692248,1636355.3694783712,1618355.460414109,1714092.1207317957
Total año ,5935202.181,5876313.188,6446792.222,6227308.8100000005,6294024.220000001,6319938.795,6235048.348999999,6199501.7299999995,6418515.025,6285412.861,6285125.917,6297197.980367503,6482571.957444082,6772874.833379794,6870850.891227378,6773807.967764157,6506631.854175954,7214479.074732931
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 TASAS DE CRECIMIENTO ANUAL  POR TRIMESTRE Y TOTAL AÑO,,,,,,,,,,,,,,,,,,
Trimestre,Años,,,,,,,,,,,,,,,,,
,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0
I,,0.1332639364383823,8.675025200597247,-4.057720982498296,4.272607931580225,-2.6710062025147465,-1.1061275611177024,-0.5701097635215717,3.5327564249018764,-1.8649395379502351,-0.716535030187373,6.1682465855727315,1.4021752889374426,1.5799999999999983,5.200000000000003,3.039999999999992,-8.200000000000003,10.791023198962591
II,,-1.836106798785579,10.855271102381508,-2.3326276899886267,-1.079926843982804,2.595435924591328,-2.8528846519983233,-0.5701097626526064,3.5327564098167556,-1.8649395184509814,1.3247058853978615,-0.7848695847636122,1.0138382549412626,5.400000000000006,0.9999999999999716,-0.09999999999999432,-6.800000000000011,17.400386075466614
III,,-2.4058091004370823,11.216437269109193,-3.8110451441969673,0.6987089268945397,0.7832983152001844,-1.1061275940755735,-0.5701097373454331,3.5327563866931087,-1.8649395677573892,-0.559906449683993,-2.816827345982688,4.046687550844069,5.199999999999989,0.9000000000000057,-3.700000000000017,0.5000000000000142,9.565399786749325
IV,,0.29804556081008116,7.9932371742200985,-3.452013647686158,0.6987089412062062,0.7832982448352084,-0.2671719681330984,-0.5701097663661869,3.53275643638284,-2.690454663790149,-0.09876660549882388,-1.1705622964926476,5.3099167113660855,5.6000000000000085,-0.9999999999999858,-4.700000000000003,-1.0999999999999943,5.915675675675686
