Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
TABLA 5.  ESTIMACIÓN DE ÁREA SEMBRADA CON SEMILLA CERTIFICADA VENDIDA. 1996 - 2017,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,(Hectáreas),
Años,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016,2017
Cultivo,,,,,,,,,,,,,,,,,,,,,,
Algodón,70733.0,46763.0,18772.0,32206.0,60137.0,34467.0,14760.0,30102.0,44810.0,33226.0,16659.0,2248.0,5046,4082.0,17886.0,19618.0,31137.0,1788.0,9911.0,7256.0,722,3589
Arroz,272094.0,194211.0,275189.0,202297.0,252692.0,299222.0,263979.0,188100.0,270486.0,204366.0,231161.0,232563.0,286861,270018.0,208697.0,294932.0,250304.0,192903.0,119131.0,186695.0,205571,185081
Avena,0.0,30.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,165.0,149.0,87,118.0,0.0,0.0,0.0,0.0,80.0,69.0,14,66
Fríjol,87.0,21.0,34.0,183.0,400.0,258.0,76.0,674.0,680.0,624.0,926.0,692.0,514,1628.0,41.0,205.0,14354.0,95.0,76.0,153.0,65,0
Maíz,105360.0,63907.0,78399.0,78187.0,143208.0,125134.0,56692.0,165194.0,209715.0,65946.0,130107.0,149637.0,49496,87674.0,72669.0,86182.0,77078.0,84207.0,52004.0,772402.0,153832,122720
Maní,3906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2373.0,1438.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Papa,1377.0,2550.0,1730.0,1670.0,1937.0,882.0,1186.0,1381.0,1408.0,585.0,2617.0,3139.0,293,997.0,2510.0,2342.0,3026.0,1263.0,1434.0,1906.0,832,93
Sorgo,102647.0,61824.0,65650.0,49613.0,87029.0,64255.0,44354.0,74470.0,45467.0,29709.0,30575.0,17556.0,11259,3310.0,2459.0,5198.0,5217.0,224.0,0.0,0.0,0,0
Soya,35656.0,27650.0,22884.0,11565.0,21849.0,12295.0,10145.0,11309.0,17601.0,4415.0,33060.0,33313.0,7354,5994.0,3204.0,19125.0,15633.0,4520.0,7876.0,16901.0,9898,6065
Trigo,443.0,353.0,271.0,215.0,1651.0,0.0,0.0,0.0,0.0,37.0,430.0,611.0,298,225.0,0.0,0.0,0.0,0.0,208.0,61.0,4,35
Total Sembrada,592303.0,397309.0,462929.0,375936.0,569013.0,536513.0,391192.0,471230.0,590167.0,338908.0,448073.0,441346.0,361208,374046.0,307466.0,427602.0,396749.0,285000.0,190720.0,985443.0,370938,
