Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
TABLA 51.  PRECIO PROMEDIO DE GANADO PORCINO EN PIE A NIVEL MENSUAL EN BOGOTÁ Y MEDELLÍN. 1995 - 2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,, ($/kg en pie),
Meses,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016,2017.0
,,,,,,,,,,,,,,,,,,,,,,,
BOGOTÁ,,,,,,,,,,,,,,,,,,,,,,,
Enero,1367.0,1640.0,1464.3,2005.0,2600.0,2695.0,2681.9,3290.48,3160.0,3260.0,3294.14,4061.29,3181.0,4043.548387096774,5100.0,4941.935483870968,4883.0,4776.190476190476,4585.714285714285,5064.0,5000.0,5300,5618.0
Febrero,1400.0,1625.0,1371.5,2100.0,2600.0,2514.29,2777.5,3277.5,2895.4545454545455,3172.41,3871.43,3914.28,2986.0,4234.482758620689,4886.0,4796.428571428572,4665.0,4476.190476190476,4552.5,5000.0,5040.0,5342.400000000001,5662.944
Marzo,1480.0,1600.0,1285.3,2285.0,2541.0,2506.82,2700.0,3211.1,2576.6666666666665,3146.15,3900.0,3756.0,2827.0,4303.225806451613,4697.0,4622.580645161291,4536.0,4266.666666666667,4600.0,5010.0,4966.666666666667,5264.666666666667,5580.546666666667
Abril,1425.0,1640.0,1396.2,2155.0,2335.0,2338.89,2823.0,3136.36,2482.5925925925926,3140.0,3886.206896551724,3365.0,2820.0,4091.6666666666665,4348.0,4250.0,4379.0,4127.777777777777,4600.0,5060.0,4770.0,5056.2,5359.572
Mayo,1460.0,1483.0,1562.5,2200.0,2205.0,2302.27,2850.0,2890.48,2557.8571428571427,3278.33,3732.26,2896.4285,3043.548387096774,4301.612903225807,3211.0,4019.3548387096776,4118.0,3938.095238095238,4685.714285714285,5143.0,4478.9473684210525,4747.684210526316,5032.545263157895
Junio,1500.0,1400.0,1547.2,2410.5,2215.0,2300.0,2878.0,2802.78,2555.1724137931033,3396.0,3760.0,2682.76,3216.6666666666665,4318.333333333333,2992.0,3913.3333333333335,4203.0,3947.3684210526317,4750.0,5192.0,4092.1052631578946,4337.631578947368,4597.88947368421
