Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
TABLA 57. INVENTARIO POBLACIÓN AVES 2005 - 2017,,,,,,,,,,,,,
,,,,,,,,,,,,,
DEPARTAMENTO,2005,2006,2007,2008,2009,2010,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0
AMAZONAS,15000,15000,15000,15000,-,-,42590.0,65800.0,69740.0,89930.0,80694.0,0.0,84035.0
ANTIOQUIA,7880059,10592349,9011237,10575849,9071653,11421648,13210749.0,10309790.0,10355914.0,8984631.0,10605676.0,11951841.0,12412700.0
ARAUCA,247300,248000,299000,220000,207120,243940,148600.0,201300.0,264300.0,281030.0,463100.0,110500.0,404850.0
ATLANTICO,3425516,4352556,4352556,4908152,4519863,5198715,4875741.0,4206827.0,4400627.0,4863635.0,4600689.0,5920998.0,6559083.0
BOLIVAR,1149384,1155955,1579696,1610928,1569074,1668046,1783275.0,1697543.0,1612753.0,1979148.0,2804040.0,3384951.0,2679312.0
BOYACA,1762569,1785524,1785524,1785524,2856944,2856944,2335845.0,2485340.0,2184706.0,2218255.0,2402300.0,2299690.0,3771264.0
CALDAS,440330,440330,1883155,1611297,1405959,1609779,1257200.0,1469100.0,1470393.0,1522500.0,1795300.0,2336650.0,2166744.0
CAQUETA,385506,394506,333105,231260,309505,431315,557099.0,479305.0,377751.0,430874.0,288758.0,426110.0,464510.0
CASANARE,31860,31860,57490,52000,212385,268685,57600.0,83500.0,52700.0,49550.0,98750.0,75815.0,81137.0
CAUCA,1374620,4032931,4032931,4300001,5321682,6335775,7602645.0,6543744.0,5158579.0,6323409.0,6092042.0,5945139.0,10026051.0
CESAR,0,557415,577415,557415,685672,728324,582317.0,281563.0,466535.0,481855.0,480901.0,478592.0,494263.0
CHOCO,0,0,75573,97410,27951,341346,351416.0,306224.0,247869.0,265471.0,218557.0,223936.0,283006.0
CORDOBA,0,0,4733979,4733979,1783605,1602620,1223271.0,1236042.0,1466922.0,1914519.0,2045824.0,1926164.0,298432.0
CUNDINAMARCA,15793619,15808510,15820510,15808510,28700906,37178211,31534256.0,33112877.0,28837169.0,30922159.0,32821368.0,31613711.0,31772209.0
DISTRITO CAPITAL,-,-,-,-,-,-,376800.0,391262.0,387450.0,394210.0,391689.0,391000.0,0.0
GUAINIA,13300,12500,24033,24000,24000,36000,7150.0,5950.0,6050.0,6020.0,14350.0,32337.0,32348.0
GUAVIARE,76670,76670,43100,42900,46120,43200,70796.0,70796.0,70850.0,70850.0,70850.0,70850.0,84360.0
HUILA,1110650,4483746,4435838,4488938,4622016,1955261,1424524.0,1484334.0,1330300.0,2112073.0,1864520.0,3481620.0,2656970.0
LA GUAJIRA,0,109344,109344,109344,108344,139944,141350.0,114210.0,114210.0,121529.0,145979.0,163850.0,178270.0
MAGDALENA,730379,730379,854084,1549616,1559811,1628242,1644327.0,1569372.0,1551825.0,1075717.0,624551.0,513975.0,525337.0
META,1080490,1268956,1279131,1498510,897898,1312010,1076072.0,2072860.0,2174300.0,2183115.0,2227050.0,2322780.0,1994050.0
NARINO,1369015,877740,1487027,1459633,2371997,1908100,2696926.0,2639498.0,2557438.0,1612000.0,2064000.0,1654280.0,2314906.0
NORTE SANTANDER,1434876,1434876,-,2049194,2132241,2654872,2544866.0,2162643.0,1877440.0,2138792.0,2107472.0,1274776.0,2250264.0
PUTUMAYO,331973,331973,383237,200378,53621,-,355800.0,448639.0,429452.0,453713.0,450713.0,253078.0,397249.0
QUINDIO,920685,920685,2674511,3261770,4376245,4446278,5548552.0,6899898.0,6766490.0,6725490.0,7514995.0,8552864.0,9685331.0
RISARALDA,1241550,1241550,3036929,2766850,2703350,2802405,2974788.0,3151324.0,3140625.0,3036295.0,3422474.0,3819604.0,3792164.0
S.ANDRES/PROVID,-,12300,10200,10130,7135,14809,14809.0,15921.0,15947.0,25217.0,27771.0,25380.0,11355.0
SANTANDER,26383437,25438437,35659811,25271225,27631921,31783691,36398505.0,34632612.0,34995330.0,33467535.0,35519959.0,37010107.0,40091872.0
SUCRE,-,672207,932313,932313,725888,878593,888086.0,869162.0,921269.0,938549.0,952346.0,956517.0,943076.0
TOLIMA,5411965,5345474,5333819,5907849,5036980,4505959,4113811.0,4760534.0,2640454.0,4888259.0,7254906.0,10313200.0,7329631.0
VALLE,53817980,53817980,18527532,35850908,35913208,38900265,43716002.0,37167535.0,40065736.0,20379294.0,19594032.0,19594032.0,20014144.0
VAUPES,400,400,400,450,450,410,6100.0,2600.0,2600.0,2600.0,2600.0,8000.0,1783.0
VICHADA,4450,4450,27500,30000,30000,30000,30000.0,29800.0,25200.0,28300.0,29800.0,3024.0,29203.0
Total,126433583,136194603,119375980,131961333,144913544,162925387,169591868.0,160967905.0,156038924.0,139986524.0,149078056.0,157135371.0,163829909.0
Fuente: ICA,,,,,,,,,,,,,
