Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
TABLA 59.  VENTA DE FERTILIZANTES PARA EL SECTOR CAFETERO 1985-2017,,,,
,,,( Toneladas  ),
 Años,Urea,Abonos Compuestos,Cloruro de Potasio,Total
,,,,
1985,39137,141754,9529,190420
1986,50655,198528,12435,261618
1987,71091,200953,22076,294120
1988,89018,213484,26484,328986
1989,125739,192890,49977,368606
1990,155292,174695,75166,405153
1991,141465,203425,67289,412179
1992,90045,83406,42152,215603
1993,51361,58121,26985,136467
1994,74484,119948,27052,221484
1995,57727,133231,21037,211995
1996 *,24232,96884,10556,131672
1997,37463,96421,10474,144358
1998,32154,102100,6130,140384
1999,34634,94993,9129,138756
2000,39695,116873,11212,167780
2001,26460,80853,6258,113571
2002,31260,82643,8250,122153
2003,28953,85532,7553,122038
2004,30065,96185,7267,133517
2005,12202,119146,4849,136197
2006,15335,123875,3251,142461
2007,12487,125758,3379,141624
2008,6648,97806,1121,105575
2009,24210,120523,3322,148055
2010,25074,124817,3440,153331
2011,27785.7985404,138316.1638782,3812.0375814,169914
2012/1,ND,ND,ND,155436
2013,ND,ND,ND,125565.165
2014,ND,ND,ND,140475.35
2015,ND,ND,ND,150901.65
2016,ND,ND,ND,160574
2017,ND,ND,ND,139151
,,,,
* A partir de 1996 las cifras corresponden a las ventas de AGROINSUMOS del Café. ,,,,
"1/ Desde 2012, Federacafe solamente se publica los datos totales de los fertilizantes",,,,
FUENTE:  FEDERACAFE  - Agroinsumos del Café,,,,
