Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
TABLA 67.  EXPORTACIONES COLOMBIANAS POR TIPOS DE CAFÉ AÑO CAFETEROS 1989/90- 2016/2017,,,,,
,,,,,( Miles de Sacos 60kg)
Años,Verde,Soluble, Extracto,Otros **,Total
1989/1990,13321,383,35,,13739
1990/1991,11854,319,39,,12212
1991/1992,15034,369,46,20,15469
1992/1993,13995,429,26,86,14536
1993/1994,12109,481,35,65,12690
1994/1995,8845,386,41,72,9344
1995/1996,10201,502,63,38,10804
1996/1997 ,10582,519,61,39,11201
1997/1998,10241,573,43,38,10895
1998/1999,9777,492,40,50,10359
1999/2000,8431.113,597.606,31.873,4.814,9065.405999999999
2000/2001,8840.732,594.32,33.606,3.907,9472.564999999999
2001/2002,10003,593,27,6,10629
2002/2003,9914,557,18.612,9,10498.612
2003/2004,9566,614,24,16,10220
2004/2005,10352,640,23,17,11032
2005/2006,10110,604.172,19.466,18,10751.638
2006/2007,10587,560,16,14,11177
2007/2008,10846.4,664.4,12.1,34,11556.9
2008/2009,8072,582,23,39,8716
2009/2010,6533,587.998,13.195,62,7196.192999999999
2010/2011,7430,546.495,27.733,60,8064.228
2011/2012,6705,503,13,77,7298
2012/2013,8215.457,520.77627,28.736,81.672,8846.641270000002
2013/2014,10225.949,480.365,35.856,100.033,10842.203
2014/2015,11593.793,529.747,37.836,116.65100000000042,12278.027
2015/2016,11511.493,653.548,33.374,116.708,12315.123
2016/2017,12567.733,313.206,49.364,555.7000000000007,13486.003
,,,,,
El año cafetero comprende el período octubre - septiembre,,,,,
** Tostado y Molido.,,,,,
FUENTE:  FEDERACAFE - Grupo de Información Comercial,,,,,
