TABLA 69. VOLUMEN DE LAS EXPORTACIONES COLOMBIANAS DE CAFÉ SEGÚN SITIO DE EMBARQUE  2000 - 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,Miles de sacos de 60 Kg de café verde equivalente ,,,
Puerto de Embarque,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014,2015.0,2016.0,2017.0
Aerp. El Dorado,309.0,770.0,1923.0,1442.0,2418.0,2111.0,3355.0,3804.0,4910.0,2693.0,5297.0,3789.0,2514.0,2762.0,3153,4544.0,11500.0,7849.0
Aerp. José M.Cordoba,364.0,2762.0,477.0,1193.0,117.0,,161.0,265.0,1324.0,3548.0,8869.0,25560.0,9931.0,7902.0,6037,4757.0,3995.0,3183.0
Aerp. Alfonso Bonilla,55.0,28.0,6.0,0.0,197.0,0.0,261.0,22.0,665.0,11.0,53.0,31.0,31.0,73.0,40,15.0,205.0,56.0
Aerp. Matecaña,,,,,,,,,,,,,7.0,,,,,36.0
Insp. Barranquilla,42017.0,63635.0,202755.0,107631.0,47545.0,28659.0,48602.0,13503.0,3333.0,4693.0,,,,,,,,
Insp. Buenaventura,6253228.0,6286221.0,7005746.0,7434680.0,6529968.0,6287256.0,5520570.0,5004591.0,4782347.0,4554759.0,4633042.0,4021025.0,3752480.0,5512856.0,6490979,7476568.0,7172616.0,7385925.0
Insp. Cartagena,2133706.0,3138088.0,2757743.0,2318074.0,3331288.0,4355794.0,5048293.0,5934382.0,6007585.0,3162685.0,2944390.0,3466137.0,3084177.0,3826343.0,3901527,4447422.0,4454007.0,4170789.0
Insp. Santa Marta,753081.0,463552.0,307727.0,410404.0,296130.0,189392.0,280578.0,297683.0,244855.0,129060.0,193293.0,199115.0,294785.0,300769.0,531274,748213.0,1187767.0,1391617.0
Cucúta,6840.0,7073.0,4991.0,9291.0,8549.0,217.0,4368.0,13112.0,11900.0,2989.0,14365.0,663.0,4406.0,5074.0,6264,4097.0,,
Ipiales,22224.0,18473.0,10823.0,3221.0,42178.0,7849.0,29074.0,28145.0,26385.0,33444.0,21552.0,15966.0,20464.0,16191.0,15931,27711.0,14297.0,22953.0
Paraguachón,494.0,4047.0,3537.0,3474.0,4397.0,78.0,9918.0,3877.0,139.0,,848.0,1256.0,198.0,5.0,943,32.0,77.0,31.0
Urabá,15.0,25.0,,16.0,,,49.0,1284.0,2158.0,,,,5.0,,,,,
Pasto,,,,,,,,,,,,,,,676,308.0,,
Zonas Francas,,,,,,,,,,,,,,,,,369.0,675.0
Total general,9212333.0,9984674.0,10295728.0,10289426.0,10262787.0,10871356.0,10945229.0,11300668.0,11085601.0,7893882.0,7821709.0,7733542.0,7168998.0,9671975.0,10956824,12713667.0,12844833.0,12983114.0
,,,,,,,,,,,,,,,,,,
Tipo de Puerto,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014,2015.0,2016.0,2017.0
,,,,,,,,,,,,,,,,,,
Aeropuertos,728.0,3560.0,2406.0,2635.0,2732.0,2111.0,3777.0,4091.0,6899.0,6252.0,14219.0,29380.0,12483.0,10737.0,9230,9316.0,15700.0,11124.0
Puertos Marítimos,9182032.0,9951496.0,10273971.0,10270789.0,10204931.0,10861101.0,10898043.0,11250159.0,11038120.0,7851197.0,7770725.0,7686277.0,7131442.0,9639968.0,10923780,12672203.0,12814390.0,12948331.0
Frontera terrestre y ZF,29573.0,29618.0,19351.0,16002.0,55124.0,8144.0,43409.0,46418.0,40582.0,36433.0,36765.0,17885.0,25073.0,21270.0,23814,32148.0,14743.0,23659.0
Total general,9212333.0,9984674.0,10295728.0,10289426.0,10262787.0,10871356.0,10945229.0,11300668.0,11085601.0,7893882.0,7821709.0,7733542.0,7168998.0,9671975.0,10956824,12713667.0,12844833.0,12983114.0
FUENTE:  FEDERACAFE - Grupo de Información Comercial,,,,,,,,,,,,,,,,,,
Nota: A partir del año 2000 al 2010 se cambio a año calendario,,,,,,,,,,,,,,,,,,
