Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
TABLA 72.  PRODUCCIÓN REGISTRADA DE CAFÉ VERDE A NIVEL MENSUAL Y SUPERFICIES PLANTADAS. 1993 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Período,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016*,2017*
,,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCCIÓN MENSUAL 1/,,,,,,,,,,,,,,,,,,,,,,,,,
Enero,1587.0,829.0,832.0,2081.0,778.0,828.0,813.0,658.0,1231.0,824.0,924.0,1171.0,1100.0,1102.0,963.0,1404.0,876.0,515.0,908.0,535.0,877.0,1011.0,1088.0,1136,1275
Febrero,1250.0,945.0,924.0,323.0,676.0,594.0,710.0,740.0,541.0,808.0,788.0,770.0,1023.0,888.0,1001.0,1090.0,868.0,648.0,764.0,571.0,625.0,874.0,1029.0,1096,1293
Marzo,326.0,840.0,456.0,651.0,500.0,645.0,670.0,592.0,482.0,778.0,644.0,811.0,726.0,713.0,776.0,872.0,765.0,629.0,779.0,576.0,617.0,828.0,800.0,944,1020
Abril,1487.0,967.0,815.0,670.0,824.0,1088.0,687.0,1055.0,978.0,942.0,1078.0,738.0,873.0,779.0,769.0,886.0,345.0,647.0,523.0,580.0,970.0,832.0,924.0,1043,834
Mayo,1377.0,819.0,1114.0,745.0,836.0,1300.0,640.0,1114.0,869.0,1112.0,972.0,1091.0,955.0,1087.0,994.0,820.0,702.0,822.0,673.0,689.0,937.0,1050.0,1165.0,1163,901
Junio,1200.0,941.0,1506.0,858.0,1078.0,1077.0,740.0,1092.0,718.0,1052.0,1077.0,954.0,948.0,1174.0,1219.0,1046.0,685.0,780.0,471.0,714.0,913.0,944.0,1240.0,1158,1049
Julio,1003.0,782.0,1128.0,622.0,946.0,1279.0,806.0,811.0,654.0,868.0,1072.0,774.0,738.0,821.0,995.0,891.0,582.0,787.0,530.0,668.0,1031.0,1236.0,1463.0,1102,1373
Agosto,547.0,529.0,760.0,620.0,686.0,824.0,757.0,436.0,660.0,751.0,661.0,722.0,646.0,1142.0,990.0,715.0,397.0,615.0,466.0,565.0,770.0,1151.0,1264.0,1189,1294
Septiembre,771.0,681.0,731.0,937.0,772.0,879.0,776.0,501.0,766.0,778.0,795.0,465.0,676.0,813.0,897.0,777.0,467.0,530.0,459.0,519.0,860.0,912.0,1058.0,1034,1228
Octubre,1100.0,1530.0,1221.0,1333.0,1023.0,1510.0,741.0,940.0,1243.0,1064.0,1137.0,1106.0,1131.0,1024.0,1129.0,939.0,544.0,807.0,656.0,653.0,1058.0,1101.0,1368.0,1395,1073
Noviembre,1671.0,1764.0,2190.0,1303.0,1271.0,1666.0,882.0,1366.0,1537.0,1380.0,1176.0,1368.0,1237.0,1242.0,1522.0,933.0,760.0,979.0,845.0,770.0,1113.0,1115.0,1322.0,1653,1304
Diciembre,1318.0,1404.0,2020.0,1047.0,1314.0,1093.0,890.0,1314.0,1257.0,1257.0,1244.0,1373.0,1066.0,1294.0,1363.0,1105.0,821.0,1164.0,735.0,904.0,1115.0,1086.0,1454.0,1319,1550
Total Producción Año Civil ,13637.0,12031.0,13697.0,11190.0,10704.0,12783.0,9112.0,10619.0,10936.0,11614.0,11568.0,11343.0,11119.0,12079.0,12618.0,11478.0,7812.0,8923.0,7809.0,7744.0,10886.0,12140.0,14175.0,14232,14194
Producción Año Cafetero ,,11422.0,12964.0,12938.0,10779.0,12122.0,10868.0,9512.0,10519.0,11950.0,11712.0,11053.0,11532.0,11953.0,12164.0,12515.0,8664.0,8098.0,8523.0,7653.0,9927.0,12124.0,13333.0,14009,14634
Superficie Plantada (Miles de ha),1100.0,1100.0,1100.0,1100.0,1100.0,869.0,869.0,850.0,805.0,865.1416977777778,870.8295658333332,886.6455238888888,883.3311419444444,873.5000000000001,877.7130999999999,878.63499,887.53908,914.13494,921.0479,931.0585600000002,974.01132,948.5331099999999,940.9195,931.74632,903.9514399999999
FUENTE:  FEDERACAFE - Grupo de Información Comercial,,,,,,,,,,,,,,,,,,,,,,,,,
1/. Producción en miles de sacos de 60kg.,,,,,,,,,,,,,,,,,,,,,,,,,
Año cafetero va de octubre a diciembre del año anterior y de enero a septiembre del año actual.,,,,,,,,,,,,,,,,,,,,,,,,,
* Corte a diciembre.,,,,,,,,,,,,,,,,,,,,,,,,,
