Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"TABLA 78. BALANZA COMERCIAL ANUAL DE PESCADOS Y CRUSTÁCEOS, MOLUSCOS Y DEMÁS INVERTEBRADOS ACUÁTICOS ",,,,,,,,,
                  SEGUN ZONA MUNDIAL AÑOS  2009-2017,,,,,,,,,
,,,,,,,,,(Toneladas)
Año,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017
Grupo,,,,,,,,,
ALIANZA PACÍFICO,-4433.559789999999,-3409.7871800000003,-3497.98276,-4040.8615800000002,-4951.36974,-7680.917700000001,-9100.399970000002,-8469.53196,-6898.89135
CA Y EL CARIBE,-1496.19965,-1872.8198899999998,-1435.15013,-1078.476,-1041.98709,-1227.4906000000003,-646.44255,-692.90175,-485.74114
CAN,-9004.572040000001,-12036.958740000002,-7959.87349,-7227.12519,-1772.4150399999994,4068.84253,442.61314000000056,-7549.954490000001,-2611.562459999999
CARICOM,-5019.513000000001,-4620.2463499999985,-3175.8025499999994,-1009.0630000000001,-469.291,-6027.496999999999,-3855.9923,-4374.676699999999,-1670.7254300000002
EFTA,-195.86962,-21.26952,-64.73748,-124.50654999999999,-140.50664,-268.50508,-237.39065000000002,-300.0010200000001,-390.22861000000006
JAPON,1021.4084799999999,1163.05315,896.2790300000001,640.9281799999999,804.8533100000001,338.58017000000007,345.66862,464.78583000000003,266.31608
MERCOSUR,-11444.645289999999,-10001.44765,-9030.34296,-8357.43887,-9382.853459999998,-10882.890399999998,-13484.36454,-13241.38784,-11273.890290000001
RESTO MUNDO,48368.89331000001,26857.698489999995,23213.283820000004,4306.91802000001,-20709.05202999999,-21254.207969999996,-17631.20703,-24458.19005000001,-46041.14107000001
TRIANGULO NORTE,68.49459999999999,76.298,122.50299999999999,364.0900000000002,125.815,21.482999999999997,1.172,-214.75500000000002,0.76
UNIÓN EUROPEA,9805.97097,5719.817530000002,4182.26598,2660.47305,537.79129,1401.0624100000002,2643.3104999999996,3110.6176299999997,3933.7194399999985
USA,2151.8536000000004,2586.7361599999995,2768.3447,3847.69748,-919.5747800000008,4324.5643199999995,-2069.683659999999,4129.43848,5089.44524
VENEZUELA,-33.0,,-16.0,-0.092,-25.01361,,,-77.06749999999998,-109.089
TOTAL GENERAL,29789.26157000001,4441.073999999999,6002.787160000005,-10017.45645999999,-37943.60378999999,-37186.97632,-43592.716440000004,-51673.62437,-60191.02859000002
Fuente: Cubo de Comercio Exterior por subpartida arancelaria a 4 dígitos NANDINA .,,,,,,,,,
