Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
TABLA 81. PRECIOS INTERNACIONALES DE CAMARÓN 2008-2017,,,,,,,,,,,,
,,,,,,,,,,"Shirmps, Mexican ($/kg)",,
Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2008,10.471945,10.471945,10.471945,10.471945,10.471945,10.73429478,11.1884465,11.23033428,10.59540372,10.361714,9.96267778,9.71355572
2009,9.73780654,9.92079,10.031021,10.031021,9.87890222,9.55261846,9.05216972,8.33566822,7.81317328,7.61916672,7.495708,7.5508235
2010,7.71617,7.97851978,8.21882336,8.487787,10.031021,12.39437364,12.68979272,11.96667736,11.73298764,11.75723846,12.19816246,12.456103
2011,12.52444622,12.566334,12.6545188,12.786796,12.63908646,12.70081582,12.77356828,11.794717,11.243562,11.133331,11.17080954,11.353793
2012,11.353793,11.42213622,11.56102728,11.76826156,11.794717,11.794717,11.794717,11.75723846,11.36702072,10.92609672,10.96137064,11.07160164
2013,11.243562,11.574255,11.904948,12.37012282,12.80002372,13.71053178,14.61222136,15.652802,16.08049828,16.4574883,16.82345522,16.865343
2014,16.92707236,16.975574,17.085805,17.66121082,17.967653,18.14622722,18.9817782,19.24853722,18.34684764,17.50247818,17.306267,17.3834287
2015,17.416498,17.48484122,17.45397654,16.92707236,15.86003628,13.79210272,12.25989182,10.39037406,8.76997836,8.708249,9.63198478,9.8877207
2016,10.471945,10.802638,10.6703608,10.5270605,10.471945,10.471945,10.471945,10.84011654,11.88069718,12.2907565,12.49358154,13.20346918
2017,13.41070346,13.64218856,13.778875,13.778875,14.29255146,14.85693418,14.72906622,12.8419115,12.12541,11.95344964,12.17391164,12.235641
Fuente: Banco Mundial ,,,,,,,,,,,,
