Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
TABLA 91. INDICE DE PRECIOS AL CONSUMIDOR TOTAL NACIONAL Y POR GRUPOS DE GASTO. 1999 - 2017,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Productos,36495.0,36861.0,37226.0,37591.0,37956.0,38322.0,38687.0,39052.0,39417.0,39783.0,40148.0,40513.0,40878.0,41244.0,41609.0,41974.0,42339.0,42705.0,42736.0
,,,,,,,,,,,,,,,,,,,
Total Nacional,57.002358,61.99,66.73,71.395131,76.02913,80.208849,84.10291,87.868963,92.872277,100.0,102.001808,105.236512,109.1574,111.815759,113.98,118.15,126.15,133.4,138.85
Alimentos,49.44644,53.110881,58.71458,65.124954,68.587842,72.314841,77.056926,81.436175,88.366581,100.0,99.683896,103.758366,109.227062,111.975603,112.93,118.23,131.05,140.51,143.21
Vivienda,65.363127,68.564205,71.48071,74.387026,79.042305,82.919285,86.333311,89.929601,93.761009,100.0,104.258508,108.102147,112.186794,115.583772,118.75,123.13,129.75,136.02,142.13
Vestuario,88.76349,91.94157,94.354301,94.996529,96.400424,97.751672,98.326373,98.623017,100.250398,100.0,99.696964,98.373982,98.904687,99.642973,100.58,102.08,105.13,109.31,111.48
Salud,51.925596,57.272491,63.489271,69.348219,75.323892,80.587021,84.70589,89.177497,94.970374,100.0,104.941517,109.463196,113.450347,118.293783,123.54,127.82,134.59,145.55,154.77
Educacion,57.21015,62.616393,68.995194,73.460646,77.010947,81.394346,85.586337,89.612249,94.277926,100.0,106.304988,110.566531,115.618652,120.929626,126.21,131.41,138.13,146.89,157.76
Diversion,68.539002,76.576554,82.025549,86.339713,90.848158,94.744557,97.144903,97.587434,100.03138,100.0,100.526263,101.113744,100.793264,101.327238,103.19,106.09,110.88,115.37,124.24
Transporte,50.930716,58.485285,63.306103,66.522159,74.410974,80.688349,84.723472,89.972043,94.876095,100.0,100.330724,103.129323,106.293649,107.832535,109.33,112.87,118.37,123.66,129.24
Comunicaciones,49.42791,62.48128,70.573891,78.458422,86.66111,91.715941,100.233495,93.934818,96.174776,100.0,100.893535,100.608394,103.891395,105.526038,108.43,110.93,116.13,121.61,129.43
Otros Gastos,56.695219,65.321603,70.271676,76.590029,81.019838,84.963137,87.480116,91.634534,95.681382,100.0,103.830893,107.127572,109.355749,110.75413,111.89,114.35,122.24,131.11,138.69
Totales de grupos de gasto.  Base (Dic.08=100),,,,,,,,,,,,,,,,,,,
Fuente :  DANE,,,,,,,,,,,,,,,,,,,
