TABLA 92.  INDICE DE PRECIOS AL CONSUMIDOR. SUBGRUPOS DEL GRUPO DE GASTO DE ALIMENTOS. 1995 - 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Años,   Ene,   Feb,  Mar,  Abr,  May,  Jun,  Jul, Ago,Sept, Oct,Nov,Dic
,,,,,,,,,,,,
CEREALES Y PRODUCTOS DE PANADERIA,,,,,,,,,,,,
1995,50.60576696936945,51.0816502261623,51.433343869793745,51.75684407330359,52.44010834928364,52.97022044943104,53.32774352347912,53.80092569101228,54.169060582206974,54.60938272336229,54.99422226498889,55.83176906769477
1996,56.82895183574499,59.07206577699202,62.062884365321416,64.41815400363079,67.30191488112793,69.48555231635704,70.6325992181311,71.19337770344286,71.7337642438342,72.09232260868505,72.28944474291585,72.61231720415596
1997,30.444553118990612,31.257272561842562,31.54013756317474,31.932698991852803,32.32181084734388,32.67366731241562,33.01103557010204,33.5898739508769,33.91344391581541,34.048667184744936,34.32187338115357,34.77376746864765
1998,35.32215319135028,36.61686403724171,37.759227388381746,38.29848746029173,38.82177480141641,38.94702672679396,39.13801982644764,39.66585125749181,40.0776956318763,40.253417423315426,40.486919004273815,40.599244854045715
1999,38.719844,39.193757,39.504921,39.733398,40.017973,40.124594,40.26652,40.37321,40.691883,40.738729,40.965077,40.984002
2000,41.0888,41.221692,41.366091,41.497118,41.654579,41.815406,41.752893,41.778787,41.661738,41.592216,41.711363,41.79646
2001,42.028719,42.803117,44.735193,45.779041,46.364042,46.820372,46.965155,46.922018,46.971352,46.916209,47.075336,47.247331
2002,47.169951,47.269802,47.39141,47.520065,47.882563,48.306146,48.709305,49.062479,49.236071,49.252655,49.811975,50.287775
2003,51.320196,52.665073,54.350523,55.005382,55.079765,55.175976,55.267264,55.098282,54.788177,54.798564,55.44961,56.605445
2004,57.411374,59.303086,60.129885,60.303653,60.368819,60.296274,59.709143,59.297077,58.184393,57.759565,57.233859,57.020791
2005,57.726159,58.25699,58.34861,58.415235,58.362287,58.214986,58.31741,58.398625,58.371549,58.184494,58.300768,58.398602
2006,58.614445,58.784974,58.934605,58.850548,59.636449,61.104954,62.426888,62.786396,62.832115,63.378695,63.641764,63.884444
2007,64.496971,64.972973,65.292436,65.664133,65.964008,66.342442,66.92415,67.206659,67.489228,67.935312,68.418059,68.803912
