               ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
                ,,,,,,,,,,,,,,,,,,
TABLA 93. PRECIOS DE LOS PRINCIPALES PRODUCTOS AGROPECUARIOS Y AGROINDUSTRIALES 2000 - 2017 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,$ Pesos/Tonelada,
,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,,,,,,,,,,
,0.36,0.3598,0.3685,0.38,0.38,0.38,0.38,0.38,,,,,,,,,,
,0.56,0.5602,0.5515,0.55,0.55,0.55,0.55,0.55,,,,,,,,,,
Años,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016,2017Prov
Cultivo,,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016,2017
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17,18
Transitorios,,,,,,,,,,,,,,,,,,
Ajonjolí* /1,1505161.539199966,1728733.7265793926,1710823.917461003,3086919.4483593004,3393005.1325195236,2991117.8577259355,4163573.8782585748,3569328.9564838223,4121483.4789656242,4080117.365379634,4576087.024280772,4475111.644868374,3648466.492783108,4632348.293127389,4755143.582534352,5112309.307371609,6360504.59815455,5862303.83615498
     Algodón Fibra/5,2621199.7078819703,2941634.8154506558,2682902.1666666665,4219061.865600885,4096882.8333333335,2873604.7993020117,3101001.268130107,2999042.556827199,3237910.321700957,3048543.2377041285,4073490.829350989,6071398.542197251,3408577.1344873165,3488101.3292690814,3559655.7573160524,3897234.68198701,4807387.5,5635629.166666667
Semilla de Algodón*/1,257074.60717716007,274088.26581817644,297016.08414564386,273304.82384030893,358103.9867429251,328655.3927478352,291267.29323702987,358956.91181772854,437325.9255627215,421868.4798477778,425771.1601281915,342469.2205050809,353108.91969777405,434021.01667370455,460156.2992271515,476163.85560513637,620927.9782156161,519600.8703900543
Arroz Pady/3 ,413587.1666666667,498521.0,497149.1666666666,574253.5833333334,576413.25,565848.5833333333,622566.25,641424.75,822768.2857142857,837633.3333333334,832351.9166666666,961114.5,1077669.0,901820.6666666666,912973.8333333334,1205665.75,1166377.75,954777.0833333334
Arroz Blanco/3 ,845829.5833333334,969047.2727272727,980183.9166666666,1114518.3333333333,1139631.6666666667,1109607.1666666667,1212905.6666666667,1322073.25,1896131.75,1795206.3333333333,1731696.4166666667,1964369.25,2229435.4166666665,1940075.6666666667,1885959.25,2615963.5833333335,2526929.6666666665,2013246
