Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
TABLA 95. PRECIOS INTERNACIONALES DE PRODUCTOS AGRÍCOLAS 2005 - 2017,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
(US$/Tonelada. Prom. Anual),,,,,,,,,,,,,,
Producto,Condición,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0
Aceite Crudo de Palma,CIF Rotterdam,455.0,508.0,794.0,1.028,703.0,912.0,1.187,1.065,896.0,881.0,678.0,726.0,767.0
Aceite Crudo de Soya,FOB Argentina,491.0,528.0,788.0,1187.0,795.0,927.0,126.0,1201.0,1031.0,893.0,734.0,758.0,797.0
Aceite de Girasol,FOB Argentina,579.0,574.0,899.0,1331.0,771.0,991.0,1251.0,1187.0,1102.0,926.0,833.0,810.0,752.0
Arroz Blanco,FOB Bangkok. 10% Part.,322.0,345.0,368.0,693.0,592.0,548.0,582.0,607.0,539.0,459.0,431.0,425.0,424.0
Azucar Crudo,FOB N.Y. Contrato Nº 11,231.0,359.0,246.0,291.0,395.0,514.0,640.0,511.0,418.0,390.0,316.0,420.0,387.0
Azucar Refino,FOB Londres,305.0,475.0,341.0,376.0,485.0,635.0,751.0,623.0,523.0,472.0,398.0,521.0,468.0
Cacao en Grano,Prom. NY CSCE - London CTM,1545.0,159.0,1959.0,2573.0,2916.0,3132.0,2979.0,2377.0,2439.0,3064.0,3144.0,2892.0,2030.0
Cafe Arabica,N.Y. Precio en Bolsa,2518.0,251.0,2715.0,306.0,3119.0,4282.0,6018.0,4133.0,2900.0,4468.0,353.0,3623.0,3319.0
Cafe Robusta,N.Y. Precio en Bolsa,1176.0,1548.0,1945.0,234.0,1699.0,1853.0,2555.0,2437.0,2421.0,2341.0,2081.0,2077.0,2252.0
Carne de Bovinos,"Prec. Importación EEUU. 
Carne congelada, deshuesada (Austra./Nva. Zelan.)",2615.0,2562.0,26.0,2669.0,2635.0,3359.0,4035.0,4141.0,4044.0,4938.0,4401.0,3926.0,4209.0
Carne de Cerdo,FOB Omaha,1778.0,1703.0,1652.0,1671.0,1393.0,1848.0,2295.0,2124.0,1667.0,1749.0,2041.0,2019.0,2155.0
Carne de Pollo (Trozos),FOB Golfo,1025.0,766.0,1089.0,1238.0,993.0,954.0,112.0,1277.0,125.0,1162.0,1148.0,966.0,969.0
Cebada,FOB Portland,136.0,147.0,182.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0
Harina de Soya 48%,Chicago Precio en Bolsa,206.0,194.0,264.0,367.0,359.0,332.0,379.0,474.0,477.0,466.0,352.0,350.0,355.0
Leche Entera Pulverizada,FOB Nueva Zelanda,2331.0,2324.0,2768.0,4594.0,2627.0,3257.0,3865.0,3594.0,398.0,497.0,3007.0,2366.0,3146.0
Maiz Amarillo,FOB Golfo. #2,115.0,138.0,187.0,251.0,192.0,211.0,317.0,320.0,297.0,230.0,198.0,190.0,181.0
Maiz Blanco,FOB KC Board of Trade,125.0,151.0,227.0,262.0,207.0,208.0,333.0,373.0,337.0,255.0,219.0,214.0,222.0
Soya en Grano,FOB Golfo. #2,259.0,255.0,340.0,507.0,430.0,428.0,540.0,583.0,589.0,547.0,409.0,409.0,400.0
Trigo,FOB Golfo. HW Ord. #2,174.0,220.0,276.0,372.0,259.0,260.0,356.0,340.0,344.0,331.0,257.0,221.0,239.0
Fuente: Confederación de Asociaciones de Productores Agropecuarios FEDEAGRO,,,,,,,,,,,,,,
