Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
TABLA 98.  SEMILLA CERTIFICADA VENDIDA POR LOS PRODUCTORES Y DENSIDADES DE SIEMBRA A NIVEL SEMESTRAL. 2002 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Miles de Kilogramos),
Producto,Densidad de,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
,Siembra (kg/ha),A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALGODÓN,25,24,341,2200.9,361.6,295.5,507.25,252.71500000000003,577.9179999999999,232.49099999999999,183.975,2.7,53.5,126.115,0,54.25,47.800000000000004,148.88099999999997,278.305,161.294,328.458,494.9,283.525,0,44.699999999999996,75.515,172.24,106.89999999999999,74.50999999999999,58.715,18.060000000000002,42.86,46.425
AG 517,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
AG 539,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
Corpoica M 123,,,,2155,,,,8.98,3.6,9.6,74,2.7,38.3,,,,,,,,,,,,,,,,,,,,
Delta Pine 5415,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Pine 90,,24,,,,,156.175,,,,,,,,,,,,,,,,,,,,,,,,,,
Deltaopal,,,301,,361.6,207.2,351.075,51.25,239.025,52.578,,,,5.11,,2.45,6.575,,,,,,,,,,,,,,,,
