Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
TABLA 99.  VALOR DE LOS CRÉDITOS APROBADOS PARA CULTIVOS SEMESTRALES CON RECURSOS DE FINAGRO. 1994 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Millones de pesos),,
Años,1 9 9 4,,,1 9 9 5,,,1 9 9 6,,,1 9 9 7,,,1 9 9 8,,,1 9 9 9,,,2 0 0 0,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,
Cultivos,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total
Ajonjolí,17.714,138.343,156.057,117.415,174.529,291.944,7.95,53.82,61.77,15,162.4,177.4,160,5,165,32,130,162,0,0,0,,6.127,1,,6.127,6,7,16.7,23.7,4,7,11,4,2,6,0,0,0,0,0,0,0,16,16,21,0,21,20,0x2a,37,20,14,34,2,36,38,17,0,17,0,0,0,0,0,0,,6,6
Algodón ,5501.451,8817.205999999998,14318.657,9273.568,19750.004,29023.572,8527.8,13208.7,21736.5,2059.6,4759.7,6819.3,1277,3212,4489,705,16514,17219,10134,13844,23978,9145,10757,19902,11002,35880,46882,32256,39643.8,71899.8,25333,41914,67247,12352,15556,27908,7915,19189,27104,4880,4870,9750,3652,33515,37167,13049,28180,41229,12493,0x2a,28821,12493,11098.5,23591.5,6308,7869,14177,3198,8614.536,11812.536,7980,210.2550000000001,8190.255,1597,2023,3620,2133,210,2343
Arroz Riego,27138.807,26033.767999999996,53172.575,41251.283,41033.282,82284.565,35832,39519.5,75351.5,35850.9,29922.1,65773,31633,26926,58559,21853,19308,41161,20340,21374,41714,38403,47899,86302,55006,55525,110531,78238,55313.29999999999,133551.3,74375,60496.996000000014,134871.996,46230,32022,78252,37519,41509,79028,32164,84977,117141,69764,52103,121867,68259,49522,117781,64655,0x2a,128946,64655,44622.5,109277.5,68300,65113,133413,58519,58430.69,116949.69,50204,58859.209,109063.209,61421,75108,136529,83126.42,69994.58,153121
Arroz Secano,8802.8778,1757.9141999999993,10560.792,12254.426,3269.243,15523.669,10959.697,2240.9030000000002,13200.6,11493.7,4486.3,15980,12951,3671,16622,6272,1224,7496,7150,5809,12959,9463,14154,23617,26853,8566,35419,46153,11867.400000000001,58020.4,20266,3872.3300000000017,24138.33,4425,2683,7108,4397,3109,7506,4229,7393,11622,24178,9330,33508,19791,10693,30484,25919,0x2a,41784,25919,8539,34458,33917,10877,44794,26459,6405.783000000003,32864.783,37591,8913.216,46504.216,60070,18828,78898,82122.01,23422.990000000005,105545
Avena,0,19.46,19.46,,,,,17.76,17.76,1.2,12.8,14,0,1,1,70,0,70,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,27,1,28,0,0,0,0,0,0,0,0,0,0,0x2a,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cebada,151.85,9.959000000000003,161.809,126.841,54.509,181.35,30.669,2,32.669,23.5,3.5,27,16,0,16,17,0,17,6,0,6,0,50,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x2a,0,0,0,0,0,0,0,0,0,0,0,0,0,29,19,48,16.5,0.5,17
