"año","entidad","indicador","subcategoría","unidad de medida","dato_numerico_num"
2018,"Achí","Población total de hombres","Población desagregada por sexo","Hombres",12816
2018,"Achí","Población total de mujeres","Población desagregada por sexo","Mujeres",11536
2018,"Ayapel","Población total de hombres","Población desagregada por sexo","Hombres",23900
2018,"Ayapel","Población total de mujeres","Población desagregada por sexo","Mujeres",23068
2018,"Caimito","Población total de hombres","Población desagregada por sexo","Hombres",7942
2018,"Caimito","Población total de mujeres","Población desagregada por sexo","Mujeres",7289
2018,"Guaranda","Población total de hombres","Población desagregada por sexo","Hombres",9194
2018,"Guaranda","Población total de mujeres","Población desagregada por sexo","Mujeres",8519
2018,"Magangué","Población total de hombres","Población desagregada por sexo","Hombres",66717
2018,"Magangué","Población total de mujeres","Población desagregada por sexo","Mujeres",66553
2018,"Majagual","Población total de hombres","Población desagregada por sexo","Hombres",19085
2018,"Majagual","Población total de mujeres","Población desagregada por sexo","Mujeres",17565
2018,"Nechí","Población total de hombres","Población desagregada por sexo","Hombres",13201
2018,"Nechí","Población total de mujeres","Población desagregada por sexo","Mujeres",12589
2018,"San Benito Abad","Población total de hombres","Población desagregada por sexo","Hombres",15054
2018,"San Benito Abad","Población total de mujeres","Población desagregada por sexo","Mujeres",13619
2018,"San Jacinto del Cauca","Población total de hombres","Población desagregada por sexo","Hombres",5284
2018,"San Jacinto del Cauca","Población total de mujeres","Población desagregada por sexo","Mujeres",4651
2018,"San Marcos","Población total de hombres","Población desagregada por sexo","Hombres",28801
2018,"San Marcos","Población total de mujeres","Población desagregada por sexo","Mujeres",28871
2018,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",15914
2018,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",454988
2018,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",13638
2018,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",449875
2019,"Achí","Población total de hombres","Población desagregada por sexo","Hombres",12981
2019,"Achí","Población total de mujeres","Población desagregada por sexo","Mujeres",11629
2019,"Ayapel","Población total de hombres","Población desagregada por sexo","Hombres",23924
2019,"Ayapel","Población total de mujeres","Población desagregada por sexo","Mujeres",23133
2019,"Caimito","Población total de hombres","Población desagregada por sexo","Hombres",8145
2019,"Caimito","Población total de mujeres","Población desagregada por sexo","Mujeres",7523
2019,"Guaranda","Población total de hombres","Población desagregada por sexo","Hombres",9422
2019,"Guaranda","Población total de mujeres","Población desagregada por sexo","Mujeres",8776
2019,"Magangué","Población total de hombres","Población desagregada por sexo","Hombres",68596
2019,"Magangué","Población total de mujeres","Población desagregada por sexo","Mujeres",68434
2019,"Majagual","Población total de hombres","Población desagregada por sexo","Hombres",19513
2019,"Majagual","Población total de mujeres","Población desagregada por sexo","Mujeres",18051
2019,"Nechí","Población total de hombres","Población desagregada por sexo","Hombres",13694
2019,"Nechí","Población total de mujeres","Población desagregada por sexo","Mujeres",12958
2019,"San Benito Abad","Población total de hombres","Población desagregada por sexo","Hombres",15344
2019,"San Benito Abad","Población total de mujeres","Población desagregada por sexo","Mujeres",13938
2019,"San Jacinto del Cauca","Población total de hombres","Población desagregada por sexo","Hombres",5471
2019,"San Jacinto del Cauca","Población total de mujeres","Población desagregada por sexo","Mujeres",4834
2019,"San Marcos","Población total de hombres","Población desagregada por sexo","Hombres",29551
2019,"San Marcos","Población total de mujeres","Población desagregada por sexo","Mujeres",29703
2019,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",16269
2019,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",466533
2019,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",13984
2019,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",462451
2020,"Achí","Población total de hombres","Población desagregada por sexo","Hombres",13642
2020,"Achí","Población total de mujeres","Población desagregada por sexo","Mujeres",12158
2020,"Ayapel","Población total de hombres","Población desagregada por sexo","Hombres",24289
2020,"Ayapel","Población total de mujeres","Población desagregada por sexo","Mujeres",23493
2020,"Caimito","Población total de hombres","Población desagregada por sexo","Hombres",8378
2020,"Caimito","Población total de mujeres","Población desagregada por sexo","Mujeres",7758
2020,"Guaranda","Población total de hombres","Población desagregada por sexo","Hombres",9472
2020,"Guaranda","Población total de mujeres","Población desagregada por sexo","Mujeres",8832
2020,"Magangué","Población total de hombres","Población desagregada por sexo","Hombres",70044
2020,"Magangué","Población total de mujeres","Población desagregada por sexo","Mujeres",69772
2020,"Majagual","Población total de hombres","Población desagregada por sexo","Hombres",20358
2020,"Majagual","Población total de mujeres","Población desagregada por sexo","Mujeres",18880
2020,"Nechí","Población total de hombres","Población desagregada por sexo","Hombres",13827
2020,"Nechí","Población total de mujeres","Población desagregada por sexo","Mujeres",13025
2020,"San Benito Abad","Población total de hombres","Población desagregada por sexo","Hombres",15610
2020,"San Benito Abad","Población total de mujeres","Población desagregada por sexo","Mujeres",14190
2020,"San Jacinto del Cauca","Población total de hombres","Población desagregada por sexo","Hombres",5599
2020,"San Jacinto del Cauca","Población total de mujeres","Población desagregada por sexo","Mujeres",4959
2020,"San Marcos","Población total de hombres","Población desagregada por sexo","Hombres",29736
2020,"San Marcos","Población total de mujeres","Población desagregada por sexo","Mujeres",29864
2020,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",16718
2020,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",477583
2020,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",14366
2020,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",473029
2021,"Achí","Población total de hombres","Población desagregada por sexo","Hombres",13972
2021,"Achí","Población total de mujeres","Población desagregada por sexo","Mujeres",12389
2021,"Ayapel","Población total de hombres","Población desagregada por sexo","Hombres",24386
2021,"Ayapel","Población total de mujeres","Población desagregada por sexo","Mujeres",23636
2021,"Caimito","Población total de hombres","Población desagregada por sexo","Hombres",8540
2021,"Caimito","Población total de mujeres","Población desagregada por sexo","Mujeres",7948
2021,"Guaranda","Población total de hombres","Población desagregada por sexo","Hombres",9532
2021,"Guaranda","Población total de mujeres","Población desagregada por sexo","Mujeres",8932
2021,"Magangué","Población total de hombres","Población desagregada por sexo","Hombres",71181
2021,"Magangué","Población total de mujeres","Población desagregada por sexo","Mujeres",70888
2021,"Majagual","Población total de hombres","Población desagregada por sexo","Hombres",20903
2021,"Majagual","Población total de mujeres","Población desagregada por sexo","Mujeres",19419
2021,"Nechí","Población total de hombres","Población desagregada por sexo","Hombres",14022
2021,"Nechí","Población total de mujeres","Población desagregada por sexo","Mujeres",13173
2021,"San Benito Abad","Población total de hombres","Población desagregada por sexo","Hombres",15775
2021,"San Benito Abad","Población total de mujeres","Población desagregada por sexo","Mujeres",14372
2021,"San Jacinto del Cauca","Población total de hombres","Población desagregada por sexo","Hombres",5708
2021,"San Jacinto del Cauca","Población total de mujeres","Población desagregada por sexo","Mujeres",5073
2021,"San Marcos","Población total de hombres","Población desagregada por sexo","Hombres",29958
2021,"San Marcos","Población total de mujeres","Población desagregada por sexo","Mujeres",30150
2021,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",17005
2021,"Sucre","Población total de hombres","Población desagregada por sexo","Hombres",485373
2021,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",14632
2021,"Sucre","Población total de mujeres","Población desagregada por sexo","Mujeres",481520
2022,"Achí","Población total de hombres","Población desagregada por sexo","Hombres",14193
2022,"Achí","Población total de mujeres","Población desagregada por sexo","Mujeres",12548
2022,"Ayapel","Población total de hombres","Población desagregada por sexo","Hombres",24601
2022,"Ayapel","Población total de mujeres","Población desagregada por sexo","Mujeres",23875
2022,"Caimito","Población total de hombres","Población desagregada por sexo","Hombres",8650
2022,"Caimito","Población total de mujeres","Población desagregada por sexo","Mujeres",8074
2022,"Guaranda","Población total de hombres","Población desagregada por sexo","Hombres",9652
2022,"Guaranda","Población total de mujeres","Población desagregada por sexo","Mujeres",9065
2022,"Magangué","Población total de hombres","Población desagregada por sexo","Hombres",71999
2022,"Magangué","Población total de mujeres","Población desagregada por sexo","Mujeres",71691
2022,"Majagual","Población total de hombres","Población desagregada por sexo","Hombres",21193
2022,"Majagual","Población total de mujeres","Población desagregada por sexo","Mujeres",19761
2022,"Nechí","Población total de hombres","Población desagregada por sexo","Hombres",14170
2022,"Nechí","Población total de mujeres","Población desagregada por sexo","Mujeres",13281
2022,"San Benito Abad","Población total de hombres","Población desagregada por sexo","Hombres",15977
2022,"San Benito Abad","Población total de mujeres","Población desagregada por sexo","Mujeres",14588
2022,"San Jacinto del Cauca","Población total de hombres","Población desagregada por sexo","Hombres",5774
2022,"San Jacinto del Cauca","Población total de mujeres","Población desagregada por sexo","Mujeres",5133
